LifeMD Price to Free Cash Flow Ratio Historical Data,LifeMD Price to Free Cash Flow Ratio Historical Data,LifeMD Price to Free Cash Flow Ratio Historical Data,LifeMD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.65,,38.91
2024-12-31,4.95,$0.15,34.09
2024-09-30,5.24,$0.27,19.31
2024-06-30,6.86,$0.17,39.54
2024-03-31,10.28,$0.22,46.0
2023-12-31,8.29,$0.01,0.0
2023-09-30,6.25,$-0.21,0.0
2023-06-30,4.35,$-0.34,0.0
2023-03-31,1.7,$-0.83,0.0
2022-12-31,1.94,$-1.03,0.0
2022-09-30,1.97,$-1.17,0.0
2022-06-30,2.04,$-1.31,0.0
2022-03-31,3.53,$-1.31,0.0
2021-12-31,3.87,$-1.35,0.0
2021-09-30,6.21,$-1.56,0.0
2021-06-30,11.78,$-1.58,0.0
2021-03-31,15.82,$-1.31,0.0
2020-12-31,6.53,$-0.88,0.0
