PSQ Holdings Price to Free Cash Flow Ratio Historical Data,PSQ Holdings Price to Free Cash Flow Ratio Historical Data,PSQ Holdings Price to Free Cash Flow Ratio Historical Data,PSQ Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.71,,0.0
2024-12-31,4.54,$-1.18,0.0
2024-09-30,2.46,$-1.49,0.0
2024-06-30,3.77,$-1.28,0.0
2024-03-31,5.38,$-1.35,0.0
2023-12-31,5.24,$-1.32,0.0
2023-09-30,9.08,$-0.99,0.0
2023-06-30,10.27,$-1.16,0.0
2023-03-31,10.13,$-0.80,0.0
2022-12-31,9.94,$-0.66,0.0
2022-09-30,9.76,$-0.23,0.0
2022-06-30,9.75,$-0.13,0.0
