Mullen Automotive Price to Free Cash Flow Ratio Historical Data,Mullen Automotive Price to Free Cash Flow Ratio Historical Data,Mullen Automotive Price to Free Cash Flow Ratio Historical Data,Mullen Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.34,,0.0
2024-12-31,1.2,"$-36,466.44",0.0
2024-09-30,3.15,"$-36,306.75",0.0
2024-06-30,240.0,"$-109,740.51",0.0
2024-03-31,520.0,"$-30,859.18",0.0
2023-12-31,1429.0,"$-31,060.62",0.0
2023-09-30,4540.0,"$-31,627.09",0.0
2023-06-30,9693.0,"$-6,695.77",0.0
2023-03-31,295425.0,"$-7,034.52",0.0
2022-12-31,643500.01,"$-6,831.10",0.0
2022-09-30,737550.01,"$-6,266.08",0.0
2022-06-30,2295000.02,$-33.26,0.0
2022-03-31,6705000.07,$-19.49,0.0
2021-12-31,11767500.12,$-4.84,0.0
2021-09-30,18540000.19,$-3.40,0.0
2021-06-30,29070000.29,$-2.60,0.0
2021-03-31,24570000.25,$-1.40,0.0
2020-12-31,31387500.31,$-0.19,0.0
2020-09-30,20227500.2,$-0.19,0.0
2020-06-30,19597500.2,$-0.28,0.0
2020-03-31,4162725.04,$-0.17,0.0
2019-12-31,7222500.07,$-0.45,0.0
2019-09-30,10282500.1,$-0.45,0.0
2019-06-30,10282500.1,$-0.35,0.0
2019-03-31,13275000.13,$-0.71,0.0
2018-12-31,12870000.13,$-0.84,0.0
2018-09-30,12127500.12,$-0.84,0.0
2018-06-30,16537500.17,$-0.70,0.0
2018-03-31,15660000.16,$-1.10,0.0
2017-12-31,25042500.25,$-1.38,0.0
2017-09-30,19014750.19,$-1.38,0.0
2017-06-30,14670000.15,$-0.74,0.0
2017-03-31,20947500.21,$-0.50,0.0
2016-12-31,16875000.17,$-0.76,0.0
2016-09-30,26325000.26,$-0.76,0.0
2016-06-30,41400000.41,$-1.52,0.0
2016-03-31,70605000.71,$-1.38,0.0
2015-12-31,42300000.42,$-0.58,0.0
2015-09-30,36000000.36,$-0.58,0.0
2015-06-30,87592500.88,$-0.54,0.0
2015-03-31,100000000.0,$0.02,5586592178.77
2014-12-31,100000000.0,$0.08,1331557922.77
2014-09-30,100000000.0,$0.08,1331557922.77
2014-06-30,100000000.0,$0.02,4016064257.02
2014-03-31,100000000.0,$0.05,1964636542.24
2013-12-31,100000000.0,$-0.22,0.0
2013-09-30,100000000.0,$-0.22,0.0
2013-06-30,100000000.0,$-0.47,0.0
2013-03-31,100000000.0,$-0.67,0.0
2012-12-31,100000000.0,$-0.48,0.0
2012-09-30,33750000.34,$-0.48,0.0
2012-06-30,54000000.54,$-0.16,0.0
2012-03-31,56250000.56,$-0.08,0.0
2011-12-31,100000000.0,$-0.01,0.0
2011-09-30,33750000.34,$-0.01,0.0
