Graham Price to Free Cash Flow Ratio Historical Data,Graham Price to Free Cash Flow Ratio Historical Data,Graham Price to Free Cash Flow Ratio Historical Data,Graham Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.41,,18.4
2024-12-31,44.47,$1.71,26.05
2024-09-30,29.59,$2.42,12.24
2024-06-30,28.16,$1.61,17.52
2024-03-31,27.28,$1.75,15.62
2023-12-31,18.97,$1.65,11.49
2023-09-30,16.6,$1.90,8.74
2023-06-30,13.28,$1.71,7.77
2023-03-31,13.08,$0.95,13.71
2022-12-31,9.62,$1.73,5.56
2022-09-30,8.79,$0.35,25.09
2022-06-30,6.92,$0.22,32.19
2022-03-31,7.71,$-0.43,0.0
2021-12-31,12.44,$-1.86,0.0
2021-09-30,12.3,$-1.01,0.0
2021-06-30,13.53,$-0.65,0.0
2021-03-31,13.9,$-0.39,0.0
2020-12-31,14.71,$0.36,40.86
2020-09-30,12.28,$-0.22,0.0
2020-06-30,12.15,$-0.14,0.0
2020-03-31,12.19,$-0.12,0.0
2019-12-31,20.55,$-0.69,0.0
2019-09-30,18.56,$-0.09,0.0
2019-06-30,18.78,$0.15,127.68
2019-03-31,18.16,$0.59,30.86
2018-12-31,21.03,$1.04,20.24
2018-09-30,25.83,$1.10,23.53
2018-06-30,23.58,$0.37,63.77
2018-03-31,19.5,$0.66,29.45
2017-12-31,18.97,$0.51,37.49
2017-09-30,18.79,$0.97,19.47
2017-06-30,17.65,$1.14,15.46
2017-03-31,20.56,$1.24,16.58
2016-12-31,19.73,$0.69,28.44
2016-09-30,16.93,$1.37,12.36
2016-06-30,16.24,$1.84,8.82
2016-03-31,17.47,$1.76,9.91
2015-12-31,14.68,$1.99,7.37
2015-09-30,15.34,$0.38,40.83
2015-06-30,17.73,$0.34,52.57
2015-03-31,20.66,$0.10,213.84
2014-12-31,24.71,$0.01,0.0
2014-09-30,24.66,$1.09,22.69
2014-06-30,29.82,$0.88,33.81
2014-03-31,27.25,$0.99,27.54
2013-12-31,31.01,$0.92,33.83
2013-09-30,30.85,$0.85,36.38
2013-06-30,25.62,$0.73,35.16
2013-03-31,21.08,$1.08,19.6
2012-12-31,16.6,$1.20,13.86
2012-09-30,15.36,$1.01,15.24
2012-06-30,15.81,$0.65,24.47
2012-03-31,18.55,$-0.06,0.0
2011-12-31,19.02,$-0.38,0.0
2011-09-30,14.09,$-1.46,0.0
2011-06-30,17.25,$-1.10,0.0
2011-03-31,20.23,$-1.24,0.0
2010-12-31,16.88,$0.98,17.15
2010-09-30,13.09,$1.75,7.48
2010-06-30,12.62,$2.67,4.72
2010-03-31,15.13,$2.95,5.14
2009-12-31,17.39,$2.17,8.03
