Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.76,,3.22
2024-12-31,45.87,$11.11,4.13
2024-09-30,50.15,$8.45,5.93
2024-06-30,66.37,$7.99,8.3
2024-03-31,71.43,$9.55,7.48
2023-12-31,63.04,$9.45,6.67
2023-09-30,72.88,$11.93,6.11
2023-06-30,61.24,$14.70,4.17
2023-03-31,58.5,$20.05,2.92
2022-12-31,47.99,$16.52,2.9
2022-09-30,45.95,$11.34,4.05
2022-06-30,40.78,$8.27,4.93
2022-03-31,45.7,$2.32,19.7
2021-12-31,36.7,$3.32,11.04
2021-09-30,35.59,$4.77,7.47
2021-06-30,34.69,$4.47,7.76
2021-03-31,26.14,$4.19,6.23
2020-12-31,14.14,$4.54,3.11
2020-09-30,13.76,$2.71,5.07
2020-06-30,10.84,$0.16,67.52
2020-03-31,8.23,$-0.69,0.0
2019-12-31,17.08,$-1.48,0.0
2019-09-30,16.38,$-4.46,0.0
2019-06-30,15.28,$-0.70,0.0
2019-03-31,16.6,$-1.01,0.0
2018-12-31,15.12,$-2.32,0.0
2018-09-30,21.79,$2.46,8.85
2018-06-30,27.71,$-1.65,0.0
2018-03-31,20.28,$-2.44,0.0
2017-12-31,20.19,$-1.13,0.0
2017-09-30,24.14,$-3.47,0.0
2017-06-30,23.2,$-2.15,0.0
2017-03-31,94.72,$-0.36,0.0
2016-12-31,83.28,$-0.78,0.0
2016-09-30,83.28,$462.29,0.18
2016-06-30,164.12,$446.94,0.37
2016-03-31,129.83,$246.94,0.53
2015-12-31,430.3,$-4.58,0.0
2015-09-30,332.32,$-838.22,0.0
2015-06-30,1490.13,"$-1,456.32",0.0
2015-03-31,2013.52,"$-1,472.38",0.0
2014-12-31,1959.63,"$-1,340.46",0.0
2014-09-30,4645.95,$-969.97,0.0
2014-06-30,4669.63,$-473.15,0.0
2014-03-31,3625.31,$-418.43,0.0
2013-12-31,3549.37,$-384.84,0.0
2013-09-30,3940.48,$-487.52,0.0
2013-06-30,2895.35,$-514.55,0.0
2013-03-31,3157.45,$-461.46,0.0
2012-12-31,2269.08,$-423.43,0.0
2012-09-30,1923.7,$-958.16,0.0
