Comstock Price to Free Cash Flow Ratio Historical Data,Comstock Price to Free Cash Flow Ratio Historical Data,Comstock Price to Free Cash Flow Ratio Historical Data,Comstock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.52,,0.0
2024-12-31,0.8,$-0.84,0.0
2024-09-30,0.47,$-2.78,0.0
2024-06-30,0.16,$0.01,11.08
2024-03-31,0.36,$-1.34,0.0
2023-12-31,0.55,$-1.47,0.0
2023-09-30,0.41,$0.45,0.9
2023-06-30,0.73,$-2.67,0.0
2023-03-31,0.34,$-1.80,0.0
2022-12-31,0.28,$-1.98,0.0
2022-09-30,0.42,$-2.26,0.0
2022-06-30,0.62,$-1.95,0.0
2022-03-31,1.67,$-1.58,0.0
2021-12-31,1.29,$-1.50,0.0
2021-09-30,2.67,$-1.44,0.0
2021-06-30,3.63,$-1.92,0.0
2021-03-31,4.58,$-1.81,0.0
2020-12-31,1.04,$-1.24,0.0
2020-09-30,1.08,$-1.20,0.0
2020-06-30,0.95,$-0.90,0.0
2020-03-31,0.41,$-1.67,0.0
2019-12-31,0.44,$-2.44,0.0
2019-09-30,0.53,$-2.83,0.0
2019-06-30,0.95,$-4.15,0.0
2019-03-31,1.05,$-4.46,0.0
2018-12-31,0.67,$-4.74,0.0
2018-09-30,0.7,$-5.72,0.0
2018-06-30,1.3,$-4.19,0.0
2018-03-31,1.25,$-5.21,0.0
2017-12-31,1.95,$-6.75,0.0
2017-09-30,3.9,$-4.83,0.0
2017-06-30,4.57,$-2.64,0.0
2017-03-31,5.6,$-2.56,0.0
2016-12-31,6.58,$-0.08,0.0
2016-09-30,9.24,$-8.73,0.0
2016-06-30,8.72,$-10.56,0.0
2016-03-31,9.25,$-13.21,0.0
2015-12-31,10.0,$-18.20,0.0
2015-09-30,15.25,$-12.23,0.0
2015-06-30,14.63,$-13.79,0.0
2015-03-31,15.0,$-8.98,0.0
2014-12-31,19.0,$-15.57,0.0
2014-09-30,30.25,$-24.31,0.0
2014-06-30,41.75,$-37.95,0.0
2014-03-31,41.25,$-51.05,0.0
2013-12-31,43.75,$-64.68,0.0
2013-09-30,45.0,$-91.09,0.0
2013-06-30,41.25,$-142.76,0.0
2013-03-31,50.25,$-190.16,0.0
2012-12-31,57.0,$-220.88,0.0
2012-09-30,81.75,$-254.76,0.0
2012-06-30,61.75,$-236.35,0.0
2012-03-31,49.0,$-219.32,0.0
2011-12-31,46.0,$-196.27,0.0
2011-09-30,50.0,$-167.60,0.0
2011-06-30,77.5,$-175.99,0.0
