BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.02,,9.31
2024-12-31,23.18,$2.47,9.37
2024-09-30,33.4,$2.83,11.8
2024-06-30,30.42,$2.77,10.98
2024-03-31,31.25,$2.71,11.54
2023-12-31,35.44,$2.73,12.97
2023-09-30,33.75,$2.02,16.75
2023-06-30,39.61,$1.89,20.98
2023-03-31,38.31,$2.20,17.45
2022-12-31,36.98,$2.73,13.56
2022-09-30,34.77,$2.63,13.24
2022-06-30,40.17,$2.58,15.56
2022-03-31,44.65,$2.60,17.18
2021-12-31,41.34,$2.79,14.81
2021-09-30,39.24,$2.63,14.94
2021-06-30,38.14,$3.11,12.26
2021-03-31,34.42,$3.24,10.63
2020-12-31,32.13,$2.93,10.96
2020-09-30,30.68,$3.61,8.5
2020-06-30,30.45,$3.70,8.23
2020-03-31,29.36,$3.31,8.86
2019-12-31,32.82,$3.32,9.88
2019-09-30,33.85,$3.26,10.38
2019-06-30,31.41,$3.06,10.25
2019-03-31,30.26,$2.99,10.12
2018-12-31,26.59,$2.93,9.08
2018-09-30,26.89,$2.63,10.22
2018-06-30,26.48,$2.92,9.07
2018-03-31,27.77,$2.97,9.36
2017-12-31,30.56,$2.87,10.66
2017-09-30,29.47,$2.88,10.24
2017-06-30,28.0,$2.57,10.91
2017-03-31,27.19,$2.53,10.77
2016-12-31,26.23,$2.50,10.51
2016-09-30,27.69,$2.61,10.63
2016-06-30,28.05,$2.94,9.53
2016-03-31,26.69,$2.59,10.32
2015-12-31,22.37,$2.43,9.22
2015-09-30,23.44,$2.17,10.79
2015-06-30,24.03,$2.06,11.64
2015-03-31,23.66,$2.64,8.95
2014-12-31,25.31,$2.73,9.27
2014-09-30,23.32,$3.37,6.92
2014-06-30,24.43,$3.32,7.36
2014-03-31,22.95,$3.54,6.49
2013-12-31,22.73,$3.65,6.23
2013-09-30,22.14,$2.64,8.4
2013-06-30,20.99,$2.62,8.0
2013-03-31,23.57,$2.54,9.3
2012-12-31,21.41,$2.62,8.17
2012-09-30,21.62,$2.46,8.79
2012-06-30,20.01,$2.89,6.92
2012-03-31,19.2,$2.45,7.83
2011-12-31,19.72,$2.10,9.4
2011-09-30,17.5,$1.78,9.85
2011-06-30,18.11,$1.51,12.01
2011-03-31,16.52,$1.68,9.83
2010-12-31,15.9,$2.26,7.02
2010-09-30,14.38,$3.05,4.72
2010-06-30,12.77,$2.88,4.43
2010-03-31,12.63,$2.72,4.64
2009-12-31,11.72,$2.35,4.99
