Magic Software Enterprises Price to Free Cash Flow Ratio Historical Data,Magic Software Enterprises Price to Free Cash Flow Ratio Historical Data,Magic Software Enterprises Price to Free Cash Flow Ratio Historical Data,Magic Software Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.44,,13.78
2024-09-30,11.82,$0.98,12.12
2024-06-30,9.63,$1.28,7.51
2024-03-31,11.21,$1.49,7.51
2023-12-31,9.49,$1.31,7.25
2023-09-30,11.06,$1.57,7.06
2023-06-30,12.67,$1.53,8.27
2023-03-31,12.7,$1.12,11.31
2022-12-31,14.93,$1.00,14.91
2022-09-30,14.5,$0.87,16.64
2022-06-30,16.28,$0.57,28.71
2022-03-31,15.79,$0.74,21.47
2021-12-31,18.95,$0.80,23.84
2021-09-30,18.11,$0.83,21.85
2021-06-30,14.53,$0.96,15.1
2021-03-31,13.62,$1.00,13.65
2020-12-31,13.83,$0.94,14.68
2020-09-30,11.61,$0.99,11.78
2020-06-30,9.87,$0.85,11.67
2020-03-31,6.98,$0.87,8.0
2019-12-31,8.49,$0.83,10.28
2019-09-30,7.97,$0.65,12.22
2019-06-30,7.65,$0.59,12.94
2019-03-31,7.13,$0.47,15.14
2018-12-31,6.4,$0.42,15.33
2018-09-30,7.12,$0.52,13.71
2018-06-30,6.84,$0.51,13.46
2018-03-31,7.0,$0.39,17.76
2017-12-31,6.8,$0.46,14.9
2017-09-30,7.06,$0.40,17.65
2017-06-30,6.34,$0.48,13.23
2017-03-31,6.22,$0.47,13.18
2016-12-31,5.26,$0.52,10.22
2016-09-30,5.63,$0.81,6.91
2016-06-30,5.18,$0.71,7.3
2016-03-31,5.28,$0.66,8.0
2015-12-31,4.26,$0.42,10.24
2015-09-30,4.18,$0.39,10.81
2015-06-30,5.06,$0.39,13.07
2015-03-31,4.94,$0.39,12.75
2014-12-31,4.46,$0.39,11.54
2014-09-30,5.2,$0.58,8.91
2014-06-30,5.55,$0.58,9.51
2014-03-31,5.97,$0.58,10.23
2013-12-31,5.24,$0.58,8.98
2013-09-30,5.03,$0.61,8.3
2013-06-30,3.88,$0.61,6.41
2013-03-31,3.76,$0.61,6.21
2012-12-31,3.3,$0.61,5.45
2012-09-30,3.09,$0.40,7.76
2012-06-30,3.81,$0.40,9.57
2012-03-31,4.41,$0.40,11.07
2011-12-31,3.55,$0.40,8.92
2011-09-30,2.82,$0.43,6.64
2011-06-30,3.42,$0.43,8.04
2011-03-31,5.19,$0.43,12.2
2010-12-31,4.24,$0.43,9.98
2010-09-30,1.72,$0.28,6.1
2010-06-30,1.44,$0.28,5.13
2010-03-31,1.75,$0.28,6.23
2009-12-31,1.27,$0.28,4.52
