Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.36,,5.03
2024-09-30,16.02,$2.85,5.61
2024-06-30,17.35,$2.99,5.81
2024-03-31,15.21,$2.07,7.35
2023-12-31,14.41,$0.05,310.63
2023-09-30,14.58,$-0.65,0.0
2023-06-30,12.8,$-0.85,0.0
2023-03-31,13.77,$-0.54,0.0
2022-12-31,11.76,$1.59,7.4
2022-09-30,11.26,$2.18,5.17
2022-06-30,11.1,$1.68,6.6
2022-03-31,12.01,$1.79,6.71
2021-12-31,8.72,$1.53,5.7
2021-09-30,8.75,$0.65,13.53
2021-06-30,10.77,$1.14,9.44
2021-03-31,8.75,$0.95,9.26
2020-12-31,10.77,$0.76,14.19
2020-09-30,8.22,$1.22,6.77
2020-06-30,6.32,$1.13,5.62
2020-03-31,4.39,$1.12,3.93
2019-12-31,13.25,$0.83,15.92
2019-09-30,10.5,$0.95,11.07
2019-06-30,9.21,$0.88,10.49
2019-03-31,10.82,$1.03,10.48
2018-12-31,9.25,$1.38,6.71
2018-09-30,11.9,$0.41,29.38
2018-06-30,12.44,$-0.09,0.0
2018-03-31,11.56,$-0.29,0.0
2017-12-31,9.69,$-1.94,0.0
2017-09-30,10.92,$-2.30,0.0
2017-06-30,8.16,$-3.00,0.0
2017-03-31,13.52,$-3.63,0.0
2016-12-31,9.15,$-2.76,0.0
2016-09-30,7.07,$-2.39,0.0
2016-06-30,11.31,$-0.83,0.0
2016-03-31,15.88,$-1.01,0.0
2015-12-31,13.43,$-1.05,0.0
2015-09-30,13.13,$-2.27,0.0
2015-06-30,18.63,$-2.25,0.0
2015-03-31,18.79,$-2.43,0.0
2014-12-31,20.71,$-1.81,0.0
2014-09-30,27.37,$-0.07,0.0
2014-06-30,28.9,$-2.87,0.0
2014-03-31,25.57,$-4.94,0.0
2013-12-31,26.5,$-7.78,0.0
2013-09-30,16.97,$-8.53,0.0
2013-06-30,15.49,$-6.29,0.0
2013-03-31,13.88,$-5.48,0.0
2012-12-31,11.47,$-3.58,0.0
2012-09-30,9.15,$-4.05,0.0
