Vertex Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vertex Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vertex Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vertex Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,510.18,,0.0
2024-12-31,402.7,$-3.06,0.0
2024-09-30,465.08,$-4.23,0.0
2024-06-30,468.72,$-4.63,0.0
2024-03-31,418.01,$14.26,29.32
2023-12-31,406.89,$12.81,31.76
2023-09-30,347.74,$16.18,21.5
2023-06-30,351.91,$14.92,23.59
2023-03-31,315.07,$14.98,21.03
2022-12-31,288.78,$15.15,19.06
2022-09-30,289.54,$14.69,19.72
2022-06-30,281.79,$14.62,19.28
2022-03-31,260.97,$9.48,27.52
2021-12-31,219.6,$9.27,23.7
2021-09-30,181.39,$7.39,24.54
2021-06-30,201.63,$6.77,29.79
2021-03-31,214.89,$11.59,18.54
2020-12-31,236.34,$11.37,20.79
2020-09-30,272.12,$11.30,24.08
2020-06-30,290.31,$9.73,29.85
2020-03-31,237.95,$7.57,31.42
2019-12-31,218.95,$5.73,38.21
2019-09-30,169.42,$5.25,32.28
2019-06-30,183.38,$5.44,33.7
2019-03-31,183.95,$4.85,37.95
2018-12-31,165.71,$4.53,36.56
2018-09-30,192.74,$4.07,47.31
2018-06-30,169.96,$3.27,51.93
2018-03-31,162.98,$2.78,58.53
2017-12-31,149.86,$2.94,50.9
2017-09-30,152.04,$2.77,54.83
2017-06-30,128.87,$2.41,53.53
2017-03-31,109.35,$1.87,58.52
2016-12-31,73.67,$0.73,100.4
2016-09-30,87.21,$0.27,327.24
2016-06-30,86.02,$-0.23,0.0
2016-03-31,79.49,$-0.84,0.0
2015-12-31,125.83,$-1.70,0.0
2015-09-30,104.14,$-2.61,0.0
2015-06-30,123.48,$-2.72,0.0
2015-03-31,117.97,$-2.80,0.0
2014-12-31,118.8,$-2.65,0.0
2014-09-30,112.31,$-1.80,0.0
2014-06-30,94.68,$-1.53,0.0
2014-03-31,70.72,$-0.94,0.0
2013-12-31,74.3,$-0.50,0.0
2013-09-30,75.82,$-0.46,0.0
2013-06-30,80.06,$0.06,1354.65
2013-03-31,54.97,$0.55,100.64
2012-12-31,41.9,$0.91,45.85
2012-09-30,55.89,$3.14,17.8
2012-06-30,55.92,$3.04,18.4
2012-03-31,41.01,$1.45,28.2
2011-12-31,33.21,$0.52,63.54
2011-09-30,44.46,$-2.66,0.0
2011-06-30,51.99,$-3.82,0.0
2011-03-31,47.93,$-3.30,0.0
2010-12-31,35.03,$-3.36,0.0
2010-09-30,34.57,$-3.15,0.0
2010-06-30,32.9,$-2.37,0.0
2010-03-31,40.87,$-2.37,0.0
2009-12-31,42.85,$-2.60,0.0
