Miller Industries Price to Free Cash Flow Ratio Historical Data,Miller Industries Price to Free Cash Flow Ratio Historical Data,Miller Industries Price to Free Cash Flow Ratio Historical Data,Miller Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.41,,326.78
2024-12-31,65.36,$0.14,480.94
2024-09-30,60.84,$1.67,36.43
2024-06-30,54.7,$-0.58,0.0
2024-03-31,49.81,$1.05,47.26
2023-12-31,41.88,$-0.06,0.0
2023-09-30,38.65,$0.28,138.39
2023-06-30,34.81,$0.54,64.68
2023-03-31,34.51,$-2.07,0.0
2022-12-31,25.88,$-4.21,0.0
2022-09-30,20.54,$-4.35,0.0
2022-06-30,21.7,$-4.49,0.0
2022-03-31,26.76,$-2.38,0.0
2021-12-31,31.54,$0.54,57.97
2021-09-30,31.97,$0.98,32.59
2021-06-30,36.87,$2.43,15.15
2021-03-31,42.99,$4.31,9.96
2020-12-31,35.24,$3.81,9.24
2020-09-30,28.19,$3.24,8.71
2020-06-30,27.3,$2.96,9.23
2020-03-31,25.79,$2.96,8.72
2019-12-31,33.64,$1.59,21.23
2019-09-30,30.02,$1.62,18.52
2019-06-30,27.57,$1.03,26.71
2019-03-31,27.48,$-0.58,0.0
2018-12-31,23.92,$0.76,31.33
2018-09-30,23.68,$0.24,99.65
2018-06-30,22.34,$-0.09,0.0
2018-03-31,21.72,$-0.50,0.0
2017-12-31,22.25,$-0.83,0.0
2017-09-30,23.94,$0.61,39.07
2017-06-30,21.13,$0.88,23.92
2017-03-31,22.25,$-0.01,0.0
2016-12-31,22.18,$-0.36,0.0
2016-09-30,18.98,$-1.76,0.0
2016-06-30,17.02,$-1.66,0.0
2016-03-31,16.63,$-0.60,0.0
2015-12-31,17.71,$0.73,24.34
2015-09-30,15.77,$1.21,13.0
2015-06-30,15.98,$0.59,27.06
2015-03-31,19.47,$0.63,30.7
2014-12-31,16.4,$0.41,40.38
2014-09-30,13.23,$0.10,128.03
2014-06-30,15.98,$0.05,316.41
2014-03-31,15.05,$-0.18,0.0
2013-12-31,14.24,$-0.11,0.0
2013-09-30,12.88,$0.13,100.86
2013-06-30,11.57,$0.60,19.21
2013-03-31,11.97,$1.34,8.93
2012-12-31,11.28,$0.29,39.18
2012-09-30,11.76,$1.67,7.04
2012-06-30,11.58,$0.85,13.7
2012-03-31,12.2,$1.64,7.45
2011-12-31,11.25,$2.12,5.31
2011-09-30,12.31,$0.53,23.29
2011-06-30,13.18,$1.28,10.32
2011-03-31,11.37,$0.05,230.57
2010-12-31,9.88,$1.01,9.8
2010-09-30,9.4,$0.56,16.75
2010-06-30,9.36,$1.14,8.18
2010-03-31,8.63,$1.62,5.33
2009-12-31,7.82,$1.59,4.91
