Hurco Price to Free Cash Flow Ratio Historical Data,Hurco Price to Free Cash Flow Ratio Historical Data,Hurco Price to Free Cash Flow Ratio Historical Data,Hurco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.87,,12.85
2025-01-31,21.49,$1.24,17.4
2024-10-31,21.01,$-0.83,0.0
2024-07-31,17.2,$-0.04,0.0
2024-04-30,18.1,$-1.30,0.0
2024-01-31,23.92,$-1.52,0.0
2023-10-31,19.69,$-2.30,0.0
2023-07-31,22.77,$-3.82,0.0
2023-04-30,21.77,$-3.31,0.0
2023-01-31,27.2,$-3.54,0.0
2022-10-31,22.2,$-0.91,0.0
2022-07-31,24.13,$0.93,25.96
2022-04-30,26.87,$3.09,8.69
2022-01-31,30.36,$4.56,6.65
2021-10-31,30.44,$4.51,6.75
2021-07-31,31.7,$5.26,6.03
2021-04-30,31.95,$4.68,6.82
2021-01-31,27.25,$3.14,8.67
2020-10-31,27.52,$1.41,19.56
2020-07-31,25.46,$-0.95,0.0
2020-04-30,29.85,$-1.98,0.0
2020-01-31,28.44,$-1.41,0.0
2019-10-31,31.51,$-1.64,0.0
2019-07-31,30.85,$-0.70,0.0
2019-04-30,35.37,$0.10,362.04
2019-01-31,34.39,$-0.46,0.0
2018-10-31,36.42,$2.26,16.09
2018-07-31,39.5,$2.66,14.84
2018-04-30,39.32,$2.45,16.04
2018-01-31,40.07,$3.63,11.04
2017-10-31,39.62,$3.88,10.21
2017-07-31,29.1,$3.16,9.2
2017-04-30,25.53,$2.76,9.26
2017-01-31,26.85,$0.88,30.35
2016-10-31,22.93,$-1.60,0.0
2016-07-31,23.23,$-0.66,0.0
2016-04-30,28.16,$0.46,61.51
2016-01-31,23.41,$2.23,10.52
2015-10-31,23.23,$3.68,6.31
2015-07-31,26.98,$3.40,7.93
2015-04-30,27.83,$3.36,8.29
2015-01-31,30.09,$2.36,12.77
2014-10-31,32.99,$2.11,15.6
2014-07-31,27.44,$1.61,17.04
2014-04-30,22.73,$1.41,16.11
2014-01-31,22.04,$2.31,9.55
2013-10-31,20.78,$1.85,11.24
2013-07-31,24.14,$1.84,13.14
2013-04-30,22.68,$0.37,62.0
2013-01-31,25.09,$-0.77,0.0
2012-10-31,19.43,$-1.66,0.0
2012-07-31,17.24,$-2.26,0.0
2012-04-30,22.26,$-1.33,0.0
2012-01-31,19.92,$-1.30,0.0
2011-10-31,22.08,$-0.62,0.0
2011-07-31,24.87,$0.26,96.81
2011-04-30,27.47,$1.64,16.78
2011-01-31,21.43,$2.73,7.84
2010-10-31,15.55,$3.10,5.02
2010-07-31,14.27,$2.88,4.96
2010-04-30,16.45,$1.16,14.15
2010-01-31,14.17,$0.29,48.65
2009-10-31,13.44,$-0.77,0.0
