Oragenics Price to Free Cash Flow Ratio Historical Data,Oragenics Price to Free Cash Flow Ratio Historical Data,Oragenics Price to Free Cash Flow Ratio Historical Data,Oragenics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.37,$-1.30,0.0
2024-09-30,0.38,$-1.62,0.0
2024-06-30,1.04,$-1.92,0.0
2024-03-31,1.44,$-3.13,0.0
2023-12-31,5.63,$-3.21,0.0
2023-09-30,2.97,$-3.60,0.0
2023-06-30,3.31,$-5.26,0.0
2023-03-31,3.29,$-5.74,0.0
2022-12-31,6.31,$-7.64,0.0
2022-09-30,13.62,$-7.92,0.0
2022-06-30,20.8,$-8.33,0.0
2022-03-31,20.67,$-7.29,0.0
2021-12-31,26.76,$-6.96,0.0
2021-09-30,38.08,$-10.26,0.0
2021-06-30,42.33,$-11.34,0.0
2021-03-31,54.41,$-15.51,0.0
2020-12-31,26.94,$-17.96,0.0
2020-09-30,34.5,$-20.03,0.0
2020-06-30,41.63,$-20.98,0.0
2020-03-31,34.8,$-19.09,0.0
2019-12-31,31.38,$-18.46,0.0
2019-09-30,32.41,$-23.16,0.0
2019-06-30,29.4,$-13.46,0.0
2019-03-31,35.1,$-30.21,0.0
2018-12-31,51.53,$-42.27,0.0
2018-09-30,69.0,$-47.44,0.0
2018-06-30,82.8,$-69.05,0.0
2018-03-31,104.4,$-70.62,0.0
2017-12-31,140.94,$-77.36,0.0
2017-09-30,252.0,$-93.51,0.0
2017-06-30,222.0,$-86.94,0.0
2017-03-31,263.46,$-94.16,0.0
2016-12-31,324.0,$-95.30,0.0
2016-09-30,276.0,$-89.41,0.0
2016-06-30,306.0,$-101.77,0.0
2016-03-31,540.0,$-88.20,0.0
2015-12-31,900.0,$-86.43,0.0
2015-09-30,982.8,$-80.74,0.0
2015-06-30,822.0,$-76.81,0.0
2015-03-31,612.0,$-89.81,0.0
2014-12-31,533.82,$-93.90,0.0
2014-09-30,750.0,$-92.87,0.0
2014-06-30,1170.0,$-117.68,0.0
2014-03-31,1722.0,$-133.24,0.0
2013-12-31,1686.0,$-141.14,0.0
2013-09-30,1800.0,$-210.05,0.0
2013-06-30,1860.0,$-151.84,0.0
2013-03-31,2010.0,$-104.68,0.0
2012-12-31,1584.0,$-176.34,0.0
2012-09-30,1320.0,$-230.40,0.0
2012-06-30,1470.0,$-405.68,0.0
2012-03-31,750.0,$-562.86,0.0
2011-12-31,606.0,$-575.42,0.0
2011-09-30,930.0,$-621.97,0.0
2011-06-30,1980.0,$-618.56,0.0
2011-03-31,1980.0,$-615.56,0.0
2010-12-31,1800.0,$-710.23,0.0
2010-09-30,3960.0,"$-1,003.50",0.0
2010-06-30,4200.0,$-818.25,0.0
2010-03-31,6840.0,$-890.57,0.0
2009-12-31,3600.0,"$-1,064.80",0.0
