Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.48,,9.88
2024-09-30,26.14,$2.48,10.55
2024-06-30,20.76,$2.32,8.95
2024-03-31,19.97,$2.77,7.22
2023-12-31,22.46,$2.61,8.62
2023-09-30,17.13,$3.32,5.16
2023-06-30,16.95,$3.52,4.82
2023-03-31,17.05,$2.82,6.05
2022-12-31,26.03,$3.49,7.47
2022-09-30,24.49,$2.85,8.59
2022-06-30,26.79,$2.93,9.14
2022-03-31,34.73,$3.51,9.89
2021-12-31,36.01,$3.86,9.32
2021-09-30,35.46,$3.94,8.99
2021-06-30,31.71,$3.47,9.15
2021-03-31,29.16,$2.98,9.77
2020-12-31,22.72,$2.14,10.63
2020-09-30,14.95,$2.38,6.28
2020-06-30,15.39,$2.48,6.21
2020-03-31,12.02,$2.31,5.2
2019-12-31,24.91,$1.78,13.96
2019-09-30,20.65,$1.68,12.29
2019-06-30,22.09,$1.50,14.7
2019-03-31,20.61,$1.59,12.95
2018-12-31,18.11,$1.85,9.81
2018-09-30,23.94,$0.02,1505.62
2018-06-30,26.32,$-0.22,0.0
2018-03-31,23.44,$-1.14,0.0
2017-12-31,23.37,$-0.74,0.0
2017-09-30,22.84,$0.89,25.8
2017-06-30,22.3,$1.05,21.32
2017-03-31,23.82,$1.59,14.99
2016-12-31,22.63,$0.88,25.57
2016-09-30,14.73,$0.91,16.14
2016-06-30,13.57,$1.15,11.76
2016-03-31,12.31,$0.76,16.11
2015-12-31,13.73,$1.34,10.27
2015-09-30,13.23,$1.12,11.86
