Texas Community Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Community Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Community Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Community Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.38,,0.0
2024-09-30,14.75,$-0.35,0.0
2024-06-30,14.6,$-0.49,0.0
2024-03-31,14.59,$-0.99,0.0
2023-12-31,14.12,$-1.08,0.0
2023-09-30,12.89,$-0.27,0.0
2023-06-30,12.14,$-0.14,0.0
2023-03-31,13.66,$0.57,24.18
2022-12-31,15.35,$0.91,16.89
2022-09-30,15.52,$-0.28,0.0
2022-06-30,16.47,$1.00,16.45
