Quantum Computing Price to Free Cash Flow Ratio Historical Data,Quantum Computing Price to Free Cash Flow Ratio Historical Data,Quantum Computing Price to Free Cash Flow Ratio Historical Data,Quantum Computing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.39,,inf
2024-09-30,0.65,0.0,0.0
2024-06-30,0.5,0.0,0.0
2024-03-31,0.99,0.0,0.0
2023-12-31,0.91,0.0,0.0
2023-09-30,1.08,0.0,0.0
