Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,235.85,,36.83
2024-10-31,208.83,$6.40,32.61
2024-07-31,191.93,$5.90,32.51
2024-04-30,198.56,$6.91,28.73
2024-01-31,207.41,$5.41,38.31
2023-10-31,192.71,$5.46,35.28
2023-07-31,204.22,$5.85,34.92
2023-04-30,179.08,$4.86,36.85
2023-01-31,170.55,$4.72,36.12
2022-10-31,167.94,$4.69,35.82
2022-07-31,223.58,$4.52,49.47
2022-04-30,181.95,$4.65,39.16
2022-01-31,236.54,$4.62,51.16
2021-10-31,317.01,$4.74,66.94
2021-07-31,332.71,$4.62,72.02
2021-04-30,282.45,$4.54,62.25
2021-01-31,276.44,$3.38,81.89
2020-10-31,270.05,$3.19,84.72
2020-07-31,264.57,$3.01,87.91
2020-04-30,190.8,$3.02,63.16
2020-01-31,146.61,$2.74,53.59
2019-10-31,141.83,$2.66,53.23
2019-07-31,165.9,$2.52,65.93
2019-04-30,139.87,$2.45,57.13
2019-01-31,109.06,$1.93,56.56
2018-10-31,91.35,$1.75,52.25
2018-07-31,75.63,$1.71,44.23
2018-04-30,70.13,$1.50,46.72
2018-01-31,62.86,$1.45,43.5
2017-10-31,60.94,$1.41,43.28
2017-07-31,63.76,$1.37,46.42
2017-04-30,53.62,$1.10,48.78
2017-01-31,42.33,$0.93,45.76
2016-10-31,38.85,$0.97,40.16
2016-07-31,37.99,$0.91,41.57
2016-04-30,27.51,$0.88,31.14
2016-01-31,24.1,$0.40,59.65
2015-10-31,25.37,$0.38,66.33
2015-07-31,26.92,$0.51,52.86
2015-04-30,26.55,$0.41,64.05
2015-01-31,28.76,$0.28,102.06
2014-10-31,29.78,$0.69,43.07
2014-07-31,23.8,$0.63,37.52
