Stran Price to Free Cash Flow Ratio Historical Data,Stran Price to Free Cash Flow Ratio Historical Data,Stran Price to Free Cash Flow Ratio Historical Data,Stran Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2024-09-30,1.22,$-0.06,0.0
2024-06-30,1.12,$-0.16,0.0
2024-03-31,1.46,$0.12,12.13
2023-12-31,1.48,$-0.19,0.0
2023-09-30,1.25,$0.13,9.56
2023-06-30,1.51,$0.16,9.72
2023-03-31,1.74,$-0.70,0.0
2022-12-31,1.26,$-0.14,0.0
2022-09-30,1.41,$-0.62,0.0
