Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.99,,13.5
2024-12-31,48.16,$3.78,12.75
2024-09-30,50.69,$3.74,13.57
2024-06-30,43.89,$3.71,11.84
2024-03-31,43.96,$3.70,11.89
2023-12-31,46.32,$3.63,12.76
2023-09-30,42.09,$3.56,11.82
2023-06-30,44.11,$4.08,10.81
2023-03-31,46.71,$4.07,11.49
2022-12-31,45.88,$4.12,11.15
2022-09-30,38.44,$3.97,9.69
2022-06-30,39.27,$3.44,11.42
2022-03-31,39.59,$3.40,11.65
2021-12-31,40.43,$3.34,12.09
2021-09-30,37.75,$3.12,12.09
2021-06-30,37.24,$2.58,14.42
2021-03-31,33.64,$1.89,17.83
2020-12-31,33.09,$1.93,17.13
2020-09-30,28.42,$2.17,13.07
2020-06-30,26.2,$2.84,9.23
2020-03-31,20.89,$3.36,6.22
2019-12-31,31.95,$3.46,9.22
2019-09-30,27.9,$3.33,8.38
2019-06-30,27.95,$3.31,8.45
2019-03-31,27.19,$3.21,8.48
2018-12-31,22.35,$3.04,7.35
2018-09-30,23.91,$2.94,8.13
2018-06-30,23.85,$2.85,8.38
2018-03-31,21.91,$2.79,7.87
2017-12-31,23.76,$2.80,8.48
2017-09-30,23.29,$3.16,7.37
2017-06-30,23.4,$3.09,7.58
2017-03-31,20.41,$2.84,7.18
2016-12-31,18.33,$2.84,6.46
2016-09-30,19.62,$2.37,8.27
2016-06-30,19.88,$2.41,8.26
2016-03-31,17.53,$2.62,6.7
2015-12-31,15.42,$2.54,6.07
2015-09-30,16.15,$2.42,6.67
2015-06-30,19.58,$1.78,11.02
2015-03-31,19.39,$1.44,13.46
2014-12-31,15.18,$1.11,13.66
2014-09-30,15.53,$1.36,11.43
