Gran Tierra Energy Price to Free Cash Flow Ratio Historical Data,Gran Tierra Energy Price to Free Cash Flow Ratio Historical Data,Gran Tierra Energy Price to Free Cash Flow Ratio Historical Data,Gran Tierra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.14,,3.33
2024-12-31,7.23,$1.54,4.68
2024-09-30,6.27,$2.11,2.97
2024-06-30,9.67,$2.09,4.63
2024-03-31,7.14,$0.85,8.42
2023-12-31,5.64,$0.04,133.97
2023-09-30,6.94,$-0.66,0.0
2023-06-30,4.91,$-0.06,0.0
2023-03-31,8.79,$2.87,3.07
2022-12-31,9.9,$5.18,1.91
2022-09-30,12.1,$3.98,3.04
2022-06-30,11.5,$5.81,1.98
2022-03-31,15.7,$4.13,3.8
2021-12-31,7.61,$2.58,2.95
2021-09-30,7.39,$3.28,2.25
2021-06-30,7.4,$1.25,5.92
2021-03-31,7.0,$0.77,9.15
2020-12-31,3.64,$-0.41,0.0
2020-09-30,2.32,$-2.72,0.0
2020-06-30,3.46,$-6.14,0.0
2020-03-31,2.51,$-7.21,0.0
2019-12-31,12.9,$-7.42,0.0
2019-09-30,12.5,$-11.07,0.0
2019-06-30,15.9,$-3.28,0.0
2019-03-31,22.7,$-2.70,0.0
2018-12-31,21.7,$-1.47,0.0
2018-09-30,38.2,$3.91,9.76
2018-06-30,34.5,$-2.11,0.0
2018-03-31,27.9,$-2.55,0.0
2017-12-31,27.0,$-2.42,0.0
2017-09-30,22.8,$-2.16,0.0
2017-06-30,22.4,$-1.60,0.0
2017-03-31,26.4,$0.38,69.16
2016-12-31,30.2,$-0.90,0.0
2016-09-30,30.1,$-1.42,0.0
2016-06-30,33.8,$-0.53,0.0
2016-03-31,24.7,$-2.00,0.0
2015-12-31,21.7,$-3.31,0.0
2015-09-30,21.3,$-3.73,0.0
2015-06-30,29.8,$-3.96,0.0
2015-03-31,27.3,$-7.54,0.0
2014-12-31,38.5,$-6.16,0.0
2014-09-30,55.4,$-1.67,0.0
2014-06-30,81.2,$0.12,672.74
2014-03-31,74.8,$3.19,23.45
2013-12-31,73.1,$8.15,8.97
2013-09-30,70.9,$9.78,7.25
2013-06-30,60.1,$7.13,8.43
2013-03-31,58.8,$4.25,13.83
2012-12-31,55.1,$-2.88,0.0
2012-09-30,51.7,$-2.55,0.0
2012-06-30,49.1,$-1.15,0.0
2012-03-31,62.9,$1.55,40.67
2011-12-31,48.0,$0.89,53.99
2011-09-30,47.7,$-2.11,0.0
2011-06-30,66.1,$-3.01,0.0
2011-03-31,80.7,$-0.75,0.0
2010-12-31,80.5,$2.25,35.76
2010-09-30,77.2,$5.16,14.96
2010-06-30,49.6,$4.91,10.1
2010-03-31,59.0,$3.79,15.58
2009-12-31,57.3,$3.55,16.16
