Apogee Therapeutics Price to Free Cash Flow Ratio Historical Data,Apogee Therapeutics Price to Free Cash Flow Ratio Historical Data,Apogee Therapeutics Price to Free Cash Flow Ratio Historical Data,Apogee Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.37,,0.0
2024-12-31,45.3,$-3.12,0.0
2024-09-30,58.74,$-3.75,0.0
2024-06-30,39.35,$-4.08,0.0
