J W Mays Price to Free Cash Flow Ratio Historical Data,J W Mays Price to Free Cash Flow Ratio Historical Data,J W Mays Price to Free Cash Flow Ratio Historical Data,J W Mays Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.61,,0.0
2025-01-31,41.5,$-0.15,0.0
2024-10-31,44.2,$-0.57,0.0
2024-07-31,43.33,$-0.52,0.0
2024-04-30,43.51,$-0.15,0.0
2024-01-31,43.88,$0.11,399.64
2023-10-31,47.6,$0.36,132.37
2023-07-31,45.37,$0.58,77.79
2023-04-30,45.04,$0.53,84.66
2023-01-31,44.26,$0.49,90.7
2022-10-31,46.27,$0.50,92.84
2022-07-31,44.8,$-0.02,0.0
2022-04-30,40.73,$0.13,317.95
2022-01-31,37.05,$0.05,751.52
2021-10-31,34.9,$-0.49,0.0
2021-07-31,38.34,$-0.59,0.0
2021-04-30,27.0,$-1.42,0.0
2021-01-31,28.45,$-2.54,0.0
2020-10-31,23.3,$-2.39,0.0
2020-07-31,19.78,$-2.38,0.0
2020-04-30,20.56,$-1.93,0.0
2020-01-31,29.19,$-0.86,0.0
2019-10-31,35.17,$-0.79,0.0
2019-07-31,35.06,$-0.66,0.0
2019-04-30,36.8,$-0.29,0.0
2019-01-31,39.5,$-0.19,0.0
2018-10-31,40.0,$0.37,107.85
2018-07-31,39.55,$0.07,557.04
2018-04-30,38.0,$0.56,67.59
2018-01-31,38.1,$0.43,89.33
2017-10-31,39.95,$0.69,58.15
2017-07-31,37.5,$0.93,40.22
2017-04-30,39.85,$1.19,33.53
2017-01-31,43.0,$1.00,42.81
2016-10-31,46.5,$0.90,51.43
2016-07-31,47.5,$0.72,65.85
2016-04-30,52.0,$0.72,72.7
2016-01-31,54.99,$0.83,65.97
2015-10-31,55.75,$0.64,87.27
2015-07-31,53.05,$0.82,64.48
2015-04-30,47.13,$0.80,58.95
2015-01-31,53.25,$0.33,159.67
2014-10-31,50.0,$0.69,72.04
2014-07-31,60.08,$0.29,207.75
2014-04-30,50.5,$-0.76,0.0
2014-01-31,38.06,$-0.81,0.0
2013-10-31,28.0,$-0.84,0.0
2013-07-31,26.65,$-0.25,0.0
2013-04-30,22.2,$0.74,30.09
2013-01-31,22.2,$1.29,17.14
2012-10-31,25.0,$1.05,23.75
2012-07-31,19.25,$1.21,15.93
2012-04-30,17.69,$0.66,26.98
2012-01-31,15.43,$0.45,34.61
2011-10-31,17.0,$0.57,29.75
2011-07-31,16.5,$0.46,35.77
2011-04-30,18.38,$0.57,32.44
2011-01-31,18.26,$0.89,20.51
2010-10-31,12.6,$0.97,12.96
2010-07-31,15.35,$1.03,14.88
2010-04-30,22.61,$1.28,17.72
2010-01-31,16.39,$1.91,8.6
2009-10-31,13.55,$2.14,6.33
