Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,214.1,,33.27
2024-12-31,250.42,$6.44,38.91
2024-09-30,232.74,$7.06,32.96
2024-06-30,210.15,$6.98,30.11
2024-03-31,170.86,$6.54,26.14
2023-12-31,191.59,$6.81,28.13
2023-09-30,170.16,$6.30,27.02
2023-06-30,192.52,$6.59,29.23
2023-03-31,163.44,$6.10,26.81
2022-12-31,128.58,$6.05,21.26
2022-09-30,136.54,$6.83,20.0
2022-06-30,134.89,$6.56,20.58
2022-03-31,172.02,$6.40,26.87
2021-12-31,174.71,$6.12,28.53
2021-09-30,139.02,$5.51,25.22
2021-06-30,134.36,$5.58,24.08
2021-03-31,119.63,$5.29,22.62
2020-12-31,129.76,$4.65,27.89
2020-09-30,113.05,$4.19,27.01
2020-06-30,88.87,$4.03,22.04
2020-03-31,61.78,$3.72,16.6
2019-12-31,71.17,$3.54,20.11
2019-09-30,54.12,$3.17,17.09
2019-06-30,47.65,$3.06,15.58
2019-03-31,45.55,$3.12,14.61
2018-12-31,37.66,$3.19,11.8
2018-09-30,53.71,$3.21,16.75
2018-06-30,43.89,$2.98,14.75
2018-03-31,39.63,$2.67,14.85
2017-12-31,39.81,$2.58,15.44
2017-09-30,36.13,$2.46,14.66
2017-06-30,33.62,$2.47,13.63
2017-03-31,33.4,$2.53,13.21
2016-12-31,26.81,$2.49,10.78
2016-09-30,26.04,$2.43,10.71
2016-06-30,21.9,$2.29,9.58
2016-03-31,24.82,$2.49,9.95
2015-12-31,23.84,$2.79,8.54
2015-09-30,24.79,$3.02,8.21
2015-06-30,28.16,$2.97,9.48
2015-03-31,27.82,$2.74,10.16
2014-12-31,24.58,$2.52,9.74
2014-09-30,22.34,$2.05,10.91
2014-06-30,20.5,$1.98,10.38
2014-03-31,16.82,$1.88,8.93
2013-12-31,17.48,$1.77,9.89
2013-09-30,14.77,$1.74,8.47
2013-06-30,12.2,$1.67,7.32
2013-03-31,13.53,$1.71,7.89
2012-12-31,16.18,$1.79,9.05
2012-09-30,20.18,$1.61,12.55
2012-06-30,17.59,$1.73,10.19
2012-03-31,18.06,$1.82,9.95
2011-12-31,12.2,$1.56,7.84
2011-09-30,11.49,$1.27,9.06
2011-06-30,10.11,$1.12,9.0
2011-03-31,10.5,$0.89,11.77
2010-12-31,9.72,$0.76,12.81
2010-09-30,8.55,$0.64,13.34
2010-06-30,7.58,$0.55,13.67
2010-03-31,7.08,$0.47,15.0
2009-12-31,6.35,$0.56,11.24
