TMC The Metals Company Price to Free Cash Flow Ratio Historical Data,TMC The Metals Company Price to Free Cash Flow Ratio Historical Data,TMC The Metals Company Price to Free Cash Flow Ratio Historical Data,TMC The Metals Company Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.77,,0.0
2024-09-30,1.06,$-0.15,0.0
2024-06-30,1.35,$-0.17,0.0
2024-03-31,1.43,$-0.16,0.0
2023-12-31,1.1,$-0.21,0.0
2023-09-30,0.99,$-0.23,0.0
2023-06-30,1.63,$-0.23,0.0
2023-03-31,0.83,$-0.30,0.0
2022-12-31,0.77,$-0.28,0.0
2022-09-30,1.05,$-0.33,0.0
2022-06-30,1.03,$-0.35,0.0
2022-03-31,2.59,$-0.29,0.0
2021-12-31,2.08,$-0.28,0.0
2021-09-30,4.57,$-0.17,0.0
2021-06-30,9.95,$-0.19,0.0
2021-03-31,9.93,$-0.20,0.0
