Adams Resources & Energy Price to Free Cash Flow Ratio Historical Data,Adams Resources & Energy Price to Free Cash Flow Ratio Historical Data,Adams Resources & Energy Price to Free Cash Flow Ratio Historical Data,Adams Resources & Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,37.3,,3.3
2024-09-30,26.83,$11.31,2.37
2024-06-30,27.55,$19.64,1.4
2024-03-31,28.27,$4.82,5.86
2023-12-31,25.29,$10.58,2.39
2023-09-30,32.27,$-7.57,0.0
2023-06-30,33.45,$-2.70,0.0
2023-03-31,36.31,$2.34,15.51
2022-12-31,36.62,$-5.81,0.0
2022-09-30,27.86,$5.88,4.74
2022-06-30,29.84,$-1.57,0.0
2022-03-31,35.46,$32.31,1.1
2021-12-31,25.44,$30.65,0.83
2021-09-30,27.54,$22.94,1.2
2021-06-30,24.91,$17.72,1.41
2020-12-31,21.33,$-15.21,0.0
2020-09-30,17.46,$-16.32,0.0
2020-06-30,23.22,$-6.36,0.0
2020-03-31,20.21,$-2.84,0.0
2019-12-31,32.46,$3.90,8.31
2021-03-31,24.98,$9.11,2.74
2019-09-30,26.24,$3.04,8.64
2019-06-30,28.78,$4.37,6.59
2019-03-31,32.57,$7.58,4.3
2018-12-31,32.1,$5.05,6.35
2018-09-30,35.01,$7.85,4.46
2018-06-30,35.28,$6.04,5.84
2018-03-31,35.52,$3.68,9.64
2017-12-31,35.33,$5.73,6.17
2017-09-30,33.56,$5.60,6.0
2017-06-30,33.01,$3.75,8.8
2017-03-31,29.85,$4.50,6.63
2016-12-31,31.49,$0.51,61.33
2016-09-30,31.06,$-2.31,0.0
2016-06-30,30.23,$2.45,12.33
2016-03-31,31.21,$2.25,13.9
2015-12-31,29.79,$-0.28,0.0
2015-09-30,31.65,$12.32,2.57
2015-03-31,51.35,$1.17,43.86
2014-12-31,38.04,$5.61,6.78
2014-09-30,33.56,$12.26,2.74
2014-06-30,59.01,$0.04,1359.68
2014-03-31,43.59,$13.57,3.21
2013-12-31,51.39,$7.63,6.73
2015-06-30,34.25,$1.35,25.29
2013-09-30,41.49,$1.30,31.87
2013-06-30,51.31,$1.52,33.8
2013-03-31,37.85,$-0.06,0.0
2012-12-31,26.03,$2.33,11.17
2012-09-30,22.21,$-0.51,0.0
2012-06-30,30.53,$-1.26,0.0
2012-03-31,41.64,$3.30,12.62
2011-12-31,21.2,$2.59,8.18
2011-09-30,14.32,$6.02,2.38
2011-06-30,18.05,$0.19,96.12
2011-03-31,20.51,$0.09,238.2
2010-12-31,17.32,$3.47,4.99
2010-09-30,12.36,$-0.83,0.0
2010-06-30,12.53,$4.40,2.85
2010-03-31,12.18,$0.81,15.12
2009-12-31,15.35,$0.21,72.04
