Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.19,,6.57
2024-12-31,16.23,$2.16,7.51
2024-09-30,15.69,$2.22,7.07
2024-06-30,15.54,$-2.68,0.0
2024-03-31,14.29,$-3.40,0.0
2023-12-31,13.48,$-3.40,0.0
2023-09-30,13.88,$-5.51,0.0
2023-06-30,12.43,$-0.36,0.0
2023-03-31,12.58,$0.19,64.9
2022-12-31,13.38,$0.38,35.0
2022-09-30,13.24,$1.40,9.44
2022-06-30,11.86,$0.70,16.97
2022-03-31,11.97,$0.97,12.38
2021-12-31,9.78,$0.58,16.86
2021-09-30,9.9,$1.48,6.7
2021-06-30,8.77,$1.77,4.94
2021-03-31,6.75,$-1.05,0.0
2020-12-31,5.15,$-0.76,0.0
2020-09-30,3.85,$-0.68,0.0
2020-06-30,5.34,$-0.03,0.0
2020-03-31,3.54,$3.05,1.16
2019-12-31,10.05,$3.21,3.13
2019-09-30,8.44,$1.22,6.91
2019-06-30,9.04,$-8.83,0.0
2019-03-31,10.22,$-8.71,0.0
2018-12-31,7.42,$-9.09,0.0
2018-09-30,10.47,$-8.06,0.0
2018-06-30,11.52,$1.32,8.74
2018-03-31,9.71,$-0.35,0.0
2017-12-31,8.15,$-6.51,0.0
