TXO Partners LP Price to Free Cash Flow Ratio Historical Data,TXO Partners LP Price to Free Cash Flow Ratio Historical Data,TXO Partners LP Price to Free Cash Flow Ratio Historical Data,TXO Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.89,,0.0
2024-12-31,16.84,$-4.31,0.0
2024-09-30,19.78,$-4.24,0.0
2024-06-30,20.16,$1.85,10.9
2024-03-31,17.95,$2.45,7.32
2023-12-31,18.18,$2.20,8.25
