Equillium Price to Free Cash Flow Ratio Historical Data,Equillium Price to Free Cash Flow Ratio Historical Data,Equillium Price to Free Cash Flow Ratio Historical Data,Equillium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.83,$-0.61,0.0
2024-06-30,0.69,$-0.44,0.0
2024-03-31,2.31,$-0.65,0.0
2023-12-31,0.72,$-0.63,0.0
2023-09-30,0.74,$0.34,2.18
2023-06-30,0.75,$0.01,71.43
2023-03-31,0.73,$-0.11,0.0
2022-12-31,1.06,$-0.27,0.0
2022-09-30,2.22,$-1.44,0.0
2022-06-30,2.04,$-1.29,0.0
2022-03-31,3.15,$-1.21,0.0
2021-12-31,3.77,$-1.12,0.0
2021-09-30,6.82,$-1.19,0.0
2021-06-30,5.89,$-1.09,0.0
2021-03-31,7.15,$-1.15,0.0
2020-12-31,5.35,$-1.22,0.0
2020-09-30,5.77,$-1.29,0.0
2020-06-30,2.95,$-1.44,0.0
2020-03-31,2.71,$-1.43,0.0
2019-12-31,3.38,$-1.32,0.0
2019-09-30,3.8,$-1.42,0.0
