Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.19,,0.0
2025-01-31,30.95,$-9.59,0.0
2024-10-31,21.01,$-9.17,0.0
2024-07-31,24.95,$-9.70,0.0
2024-04-30,24.9,$-9.15,0.0
2024-01-31,28.9,$-8.84,0.0
2023-10-31,29.23,$-8.22,0.0
2023-07-31,31.3,$-7.94,0.0
2023-04-30,25.59,$-8.37,0.0
2023-01-31,28.23,$-9.48,0.0
2022-10-31,24.06,$-10.32,0.0
2022-07-31,28.49,$-10.32,0.0
2022-04-30,27.99,$-10.35,0.0
2022-01-31,25.9,$-10.10,0.0
2021-10-31,27.96,$-8.93,0.0
2021-07-31,27.62,$-8.63,0.0
2021-04-30,28.27,$-7.82,0.0
2021-01-31,27.64,$-7.36,0.0
2020-10-31,21.54,$-7.17,0.0
2020-07-31,22.78,$-4.92,0.0
2020-04-30,15.51,$-3.03,0.0
2020-01-31,18.36,$-2.71,0.0
2019-10-31,14.12,$-2.44,0.0
2019-07-31,16.07,$-2.82,0.0
2019-04-30,17.51,$-0.13,0.0
2019-01-31,17.66,$1.78,9.9
2018-10-31,17.67,$2.72,6.51
2018-07-31,18.98,$4.13,4.6
2018-04-30,17.82,$1.46,12.23
2018-01-31,27.16,$1.86,14.58
2017-10-31,27.8,$2.74,10.13
2017-07-31,31.13,$1.56,19.9
2017-04-30,33.0,$1.21,27.26
2017-01-31,30.68,$1.75,17.54
2016-10-31,31.31,$0.85,36.82
2016-07-31,35.99,$-0.01,0.0
2016-04-30,31.46,$0.79,40.01
2016-01-31,30.65,$-0.62,0.0
2015-10-31,34.04,$0.38,88.86
2015-07-31,35.85,$1.39,25.88
2015-04-30,33.41,$2.03,16.49
2015-01-31,35.48,$1.51,23.49
2014-10-31,30.41,$1.48,20.53
2014-07-31,27.39,$1.96,13.94
2014-04-30,28.43,$1.59,17.86
2014-01-31,27.78,$2.30,12.07
2013-10-31,29.44,$2.29,12.88
2013-07-31,28.21,$2.29,12.33
2013-04-30,26.07,$2.67,9.76
2013-01-31,24.71,$2.33,10.58
2012-10-31,22.75,$2.97,7.67
2012-07-31,23.13,$2.68,8.64
2012-04-30,23.03,$2.63,8.76
2012-01-31,21.66,$2.43,8.91
2011-10-31,21.09,$3.04,6.94
2011-07-31,20.58,$2.27,9.07
2011-04-30,23.08,$1.90,12.17
2011-01-31,21.9,$2.21,9.92
2010-10-31,18.26,$1.33,13.7
2010-07-31,17.56,$1.76,9.96
2010-04-30,20.96,$1.98,10.6
2010-01-31,18.67,$1.49,12.53
2009-10-31,16.69,$1.13,14.77
