CISO Global Price to Free Cash Flow Ratio Historical Data,CISO Global Price to Free Cash Flow Ratio Historical Data,CISO Global Price to Free Cash Flow Ratio Historical Data,CISO Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.48,,0.0
2024-09-30,0.7,$-0.28,0.0
2024-06-30,0.58,$-0.28,0.0
2024-03-31,1.22,$-0.44,0.0
2023-12-31,0.1,$-0.55,0.0
2023-09-30,0.14,$-0.91,0.0
2023-06-30,0.18,$-1.29,0.0
2023-03-31,0.34,$-1.09,0.0
2022-12-31,2.55,$-1.21,0.0
2022-09-30,2.95,$-1.81,0.0
