Good Times Restaurants Price to Free Cash Flow Ratio Historical Data,Good Times Restaurants Price to Free Cash Flow Ratio Historical Data,Good Times Restaurants Price to Free Cash Flow Ratio Historical Data,Good Times Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.42,,35.06
2024-12-31,2.59,$0.07,37.48
2024-09-30,2.72,$0.18,15.14
2024-06-30,2.53,$0.37,6.88
2024-03-31,2.47,$0.08,29.33
2023-12-31,2.54,$0.29,8.91
2023-09-30,2.98,$0.27,10.87
2023-06-30,3.4,$0.06,56.01
2023-03-31,2.73,$0.43,6.32
2022-12-31,2.24,$0.18,12.73
2022-09-30,2.17,$0.21,10.21
2022-06-30,3.01,$0.34,8.83
2022-03-31,3.5,$0.31,11.12
2021-12-31,4.34,$0.40,10.88
2021-09-30,5.12,$0.46,11.04
2021-06-30,4.09,$0.70,5.86
2021-03-31,4.0,$0.62,6.43
2020-12-31,2.85,$0.54,5.31
2020-09-30,1.46,$0.46,3.16
2020-06-30,1.23,$0.09,13.73
2020-03-31,0.58,$-0.00,0.0
2019-12-31,1.59,$0.12,13.81
2019-09-30,1.61,$-0.10,0.0
2019-06-30,1.76,$-0.19,0.0
2019-03-31,2.42,$-0.33,0.0
2018-12-31,2.5,$-0.45,0.0
2018-09-30,4.65,$-0.32,0.0
2018-06-30,3.75,$-0.93,0.0
2018-03-31,3.05,$-0.50,0.0
2017-12-31,2.65,$-0.68,0.0
2017-09-30,2.7,$-0.77,0.0
2017-06-30,3.55,$0.01,341.35
2017-03-31,3.15,$-0.27,0.0
2016-12-31,3.15,$-0.11,0.0
2016-09-30,3.37,$-0.25,0.0
2016-06-30,3.49,$-0.40,0.0
2016-03-31,3.98,$-0.49,0.0
2015-12-31,4.8,$-0.58,0.0
2015-09-30,6.25,$-0.42,0.0
2015-06-30,8.81,$-0.36,0.0
2015-03-31,7.19,$-0.41,0.0
2014-12-31,6.96,$-0.44,0.0
2014-09-30,6.0,$-0.32,0.0
2014-06-30,3.76,$-0.09,0.0
2014-03-31,2.86,$0.11,26.34
2013-12-31,2.52,$-0.15,0.0
2013-09-30,2.35,$-0.61,0.0
2013-06-30,3.01,$-0.56,0.0
2013-03-31,2.85,$-0.70,0.0
2012-12-31,2.31,$-0.38,0.0
2012-09-30,1.28,$0.21,6.05
2012-06-30,1.95,$0.01,142.34
2012-03-31,0.99,$0.05,20.71
2011-12-31,1.15,$-0.14,0.0
2011-09-30,1.55,$0.17,9.12
2011-06-30,1.64,$0.13,12.75
2011-03-31,2.25,$0.12,18.37
2010-12-31,2.04,$0.09,21.79
2010-09-30,2.82,$-0.54,0.0
2010-06-30,2.76,$-0.34,0.0
2010-03-31,3.24,$-0.40,0.0
2009-12-31,3.24,$-0.96,0.0
