Forte Biosciences Price to Free Cash Flow Ratio Historical Data,Forte Biosciences Price to Free Cash Flow Ratio Historical Data,Forte Biosciences Price to Free Cash Flow Ratio Historical Data,Forte Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.54,,0.0
2024-09-30,5.59,$-20.95,0.0
2024-06-30,13.43,$-16.95,0.0
2024-03-31,17.41,$-20.23,0.0
2023-12-31,20.54,$-22.80,0.0
2023-09-30,16.55,$-17.86,0.0
2023-06-30,26.0,$-18.78,0.0
2023-03-31,25.25,$-14.62,0.0
2022-12-31,25.0,$-11.77,0.0
2022-09-30,26.75,$-13.85,0.0
2022-06-30,32.5,$-20.88,0.0
2022-03-31,36.5,$-25.59,0.0
2021-12-31,53.5,$-29.85,0.0
2021-09-30,74.0,$-52.97,0.0
2021-06-30,840.5,$-30.10,0.0
2021-03-31,856.75,$-36.34,0.0
2020-12-31,910.25,$-62.59,0.0
2020-09-30,1212.75,$-41.41,0.0
2020-06-30,364.5,$-63.35,0.0
2020-03-31,457.5,$221.17,2.07
2019-12-31,199.95,$-34.78,0.0
2019-09-30,248.4,$-255.54,0.0
2019-06-30,2505.0,$-241.32,0.0
2019-03-31,4076.25,$-898.32,0.0
2018-12-31,3078.75,$-680.84,0.0
2018-09-30,5846.25,$-844.87,0.0
2018-06-30,3502.5,$-928.72,0.0
2018-03-31,4443.75,$-887.43,0.0
