Inozyme Pharma Price to Free Cash Flow Ratio Historical Data,Inozyme Pharma Price to Free Cash Flow Ratio Historical Data,Inozyme Pharma Price to Free Cash Flow Ratio Historical Data,Inozyme Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.95,,0.0
2024-12-31,2.77,$-1.46,0.0
2024-09-30,5.23,$-1.60,0.0
2024-06-30,4.46,$-1.40,0.0
2024-03-31,7.66,$-1.36,0.0
2023-12-31,4.26,$-1.37,0.0
2023-09-30,4.2,$-1.46,0.0
2023-06-30,5.57,$-1.56,0.0
2023-03-31,5.73,$-1.35,0.0
2022-12-31,1.05,$-1.54,0.0
2022-09-30,2.68,$-1.58,0.0
2022-06-30,4.77,$-1.83,0.0
2022-03-31,4.09,$-2.13,0.0
2021-12-31,6.82,$-2.06,0.0
2021-09-30,11.59,$-3.37,0.0
2021-06-30,17.04,$-4.28,0.0
