NextCure Price to Free Cash Flow Ratio Historical Data,NextCure Price to Free Cash Flow Ratio Historical Data,NextCure Price to Free Cash Flow Ratio Historical Data,NextCure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.77,$-1.48,0.0
2024-09-30,1.37,$-1.61,0.0
2024-06-30,1.59,$-1.66,0.0
2024-03-31,2.23,$-1.84,0.0
2023-12-31,1.14,$-1.93,0.0
2023-09-30,1.29,$-1.90,0.0
2023-06-30,1.8,$-1.99,0.0
2023-03-31,1.48,$-1.99,0.0
2022-12-31,1.41,$-2.02,0.0
2022-09-30,2.75,$-2.18,0.0
2022-06-30,4.7,$-2.10,0.0
2022-03-31,4.86,$-2.20,0.0
2021-12-31,6.0,$-2.16,0.0
2021-09-30,6.74,$-1.91,0.0
2021-06-30,8.03,$-2.06,0.0
2021-03-31,10.01,$-2.01,0.0
2020-12-31,10.9,$-1.89,0.0
2020-09-30,8.8,$-2.87,0.0
2020-06-30,21.44,$-2.01,0.0
2020-03-31,37.07,$-2.89,0.0
