Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.18,,30.38
2024-12-31,125.92,$2.90,43.38
2024-09-30,133.78,$2.76,48.51
2024-06-30,147.99,$2.92,50.7
2024-03-31,112.5,$2.50,45.06
2023-12-31,108.08,$2.59,41.73
2023-09-30,99.93,$2.22,45.08
2023-06-30,110.63,$2.76,40.03
2023-03-31,106.72,$2.54,42.04
2022-12-31,86.61,$2.46,35.16
2022-09-30,74.43,$3.21,23.21
2022-06-30,88.58,$4.54,19.51
2022-03-31,116.82,$5.06,23.1
2021-12-31,161.42,$5.26,30.69
2021-09-30,107.69,$4.88,22.07
2021-06-30,132.04,$3.64,36.28
2021-03-31,119.84,$3.70,32.43
2020-12-31,117.99,$3.74,31.58
2020-09-30,78.13,$3.50,22.3
2020-06-30,83.0,$2.90,28.62
2020-03-31,53.12,$2.55,20.8
2019-12-31,66.77,$2.47,26.98
2019-09-30,56.62,$2.30,24.66
2019-06-30,46.77,$2.53,18.47
2019-03-31,38.8,$2.41,16.09
2018-12-31,30.5,$1.88,16.2
2018-09-30,35.85,$1.63,22.06
2018-06-30,36.83,$1.91,19.31
2018-03-31,44.12,$2.42,18.21
2017-12-31,40.33,$2.58,15.6
2017-09-30,35.86,$2.12,16.89
2017-06-30,28.82,$1.60,18.01
2017-03-31,29.79,$1.34,22.24
2016-12-31,24.27,$1.83,13.29
2016-09-30,20.57,$1.84,11.17
2016-06-30,18.72,$1.72,10.91
2016-03-31,20.46,$1.56,13.1
2015-12-31,19.53,$1.56,12.5
2015-09-30,16.97,$2.11,8.02
2015-06-30,18.11,$1.71,10.59
2015-03-31,17.65,$1.77,9.98
2014-12-31,18.47,$1.45,12.72
2014-09-30,18.04,$0.87,20.75
2014-06-30,18.18,$1.03,17.57
2014-03-31,18.39,$0.70,26.35
2013-12-31,16.29,$0.69,23.7
2013-09-30,15.27,$0.65,23.49
2013-06-30,16.25,$1.07,15.2
2013-03-31,15.0,$1.05,14.28
2012-12-31,15.62,$1.23,12.67
2012-09-30,13.15,$1.35,9.75
2012-06-30,13.0,$0.74,17.59
2012-03-31,15.62,$0.77,20.17
2011-12-31,12.6,$0.83,15.14
2011-09-30,10.18,$1.36,7.46
2011-06-30,13.68,$2.07,6.61
2011-03-31,16.47,$2.11,7.79
2010-12-31,12.98,$2.16,6.01
2010-09-30,10.3,$1.76,5.84
2010-06-30,9.01,$1.26,7.16
2010-03-31,10.33,$0.92,11.25
2009-12-31,9.92,$0.46,21.38
