Fulcrum Therapeutics Price to Free Cash Flow Ratio Historical Data,Fulcrum Therapeutics Price to Free Cash Flow Ratio Historical Data,Fulcrum Therapeutics Price to Free Cash Flow Ratio Historical Data,Fulcrum Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.02,,0.0
2024-12-31,4.7,$-0.04,0.0
2024-09-30,3.57,$-0.16,0.0
2024-06-30,6.2,$-0.23,0.0
2024-03-31,9.44,$-1.49,0.0
2023-12-31,6.75,$-1.49,0.0
2023-09-30,4.44,$-1.59,0.0
2023-06-30,3.3,$-1.69,0.0
2023-03-31,2.85,$-2.06,0.0
2022-12-31,7.28,$-2.20,0.0
2022-09-30,8.09,$-2.40,0.0
2022-06-30,4.9,$-2.45,0.0
2022-03-31,23.65,$-2.29,0.0
2021-12-31,17.69,$-2.27,0.0
2021-09-30,28.21,$-2.48,0.0
2021-06-30,10.48,$-1.98,0.0
2021-03-31,11.78,$-2.00,0.0
2020-12-31,11.71,$-2.17,0.0
2020-09-30,7.93,$-2.92,0.0
2020-06-30,18.29,$-4.91,0.0
