Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.21,,48.75
2024-12-31,34.13,$0.66,51.66
2024-09-30,32.91,$-1.49,0.0
2024-06-30,26.63,$-1.85,0.0
2024-03-31,28.74,$-2.02,0.0
2023-12-31,26.72,$-2.06,0.0
2023-09-30,21.53,$0.83,25.88
2023-06-30,20.8,$0.95,21.98
2023-03-31,18.26,$1.30,14.01
2022-12-31,16.49,$1.42,11.65
2022-09-30,12.42,$1.25,9.91
2022-06-30,12.75,$1.51,8.43
2022-03-31,15.24,$1.44,10.6
2021-12-31,16.9,$1.66,10.17
2021-09-30,14.14,$1.87,7.55
2021-06-30,16.19,$2.35,6.9
2021-03-31,12.87,$1.61,7.98
2020-12-31,8.38,$1.46,5.76
2020-09-30,5.07,$1.32,3.83
2020-06-30,6.0,$1.07,5.61
2020-03-31,4.02,$1.78,2.25
2019-12-31,11.58,$3.23,3.58
2019-09-30,11.91,$3.44,3.46
2019-06-30,12.2,$3.41,3.58
2019-03-31,15.5,$3.37,4.6
2018-12-31,14.71,$2.07,7.12
2018-09-30,16.4,$1.74,9.44
2018-06-30,16.59,$1.46,11.34
2018-03-31,15.29,$1.41,10.83
2017-12-31,18.18,$1.24,14.65
2017-09-30,16.5,$0.97,17.0
2017-06-30,17.34,$0.94,18.36
2017-03-31,21.63,$0.71,30.49
2016-12-31,23.39,$1.01,23.12
2016-09-30,25.23,$0.14,174.75
2016-06-30,25.82,$0.38,67.64
2016-03-31,23.17,$0.06,419.8
2015-12-31,20.64,$-0.20,0.0
2015-09-30,20.51,$0.38,53.44
2015-06-30,19.55,$0.07,274.2
2015-03-31,21.51,$0.34,63.66
2014-12-31,22.47,$0.45,50.41
2014-09-30,19.76,$1.07,18.39
2014-06-30,20.97,$1.37,15.28
2014-03-31,20.85,$1.42,14.65
2013-12-31,18.95,$1.40,13.5
2013-09-30,19.19,$1.24,15.52
2013-06-30,19.54,$1.12,17.46
2013-03-31,21.0,$1.25,16.78
2012-12-31,19.73,$1.34,14.69
2012-09-30,18.53,$1.14,16.28
2012-06-30,18.25,$-0.30,0.0
2012-03-31,16.81,$-2.08,0.0
2011-12-31,16.47,$-2.26,0.0
2011-09-30,14.5,$-2.35,0.0
2011-06-30,14.82,$-1.09,0.0
2011-03-31,14.42,$0.50,28.7
2010-12-31,13.96,$0.54,26.08
2010-09-30,12.76,$0.80,15.92
2010-06-30,11.1,$1.01,10.97
2010-03-31,11.47,$1.13,10.13
2009-12-31,10.26,$1.20,8.55
