Electromed Price to Free Cash Flow Ratio Historical Data,Electromed Price to Free Cash Flow Ratio Historical Data,Electromed Price to Free Cash Flow Ratio Historical Data,Electromed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.99,,20.42
2024-12-31,29.55,$1.22,24.14
2024-09-30,21.47,$1.28,16.73
2024-06-30,15.03,$0.99,15.17
2024-03-31,16.15,$0.55,29.33
2023-12-31,10.91,$0.43,25.66
2023-09-30,10.39,$0.14,72.05
2023-06-30,10.71,$-0.04,0.0
2023-03-31,10.4,$-0.24,0.0
2022-12-31,10.49,$-0.29,0.0
2022-09-30,10.25,$-0.37,0.0
2022-06-30,9.64,$-0.24,0.0
2022-03-31,12.44,$-0.04,0.0
2021-12-31,13.0,$0.09,151.69
2021-09-30,10.82,$0.13,81.35
2021-06-30,11.29,$0.31,36.06
2021-03-31,10.54,$0.39,27.33
2020-12-31,9.81,$0.38,25.67
2020-09-30,10.41,$0.44,23.46
2020-06-30,15.39,$0.38,40.52
2020-03-31,11.24,$0.28,40.71
2019-12-31,8.65,$0.22,39.28
2019-09-30,6.61,$0.14,47.86
2019-06-30,5.45,$0.15,37.3
2019-03-31,5.15,$0.16,31.75
2018-12-31,5.09,$0.15,33.42
2018-09-30,6.5,$0.23,28.37
2018-06-30,5.42,$0.22,24.38
2018-03-31,5.36,$0.20,27.36
2017-12-31,6.07,$0.25,24.76
2017-09-30,7.31,$0.24,29.91
2017-06-30,5.53,$0.07,81.8
2017-03-31,4.93,$0.07,68.19
2016-12-31,3.88,$0.05,76.83
2016-09-30,4.59,$0.02,204.0
2016-06-30,3.86,$0.20,19.5
2016-03-31,4.15,$0.27,15.38
2015-12-31,1.9,$0.27,7.05
2015-09-30,1.8,$0.20,8.81
2015-06-30,1.85,$0.28,6.68
2015-03-31,2.51,$0.27,9.17
2014-12-31,2.66,$0.17,15.81
2014-09-30,1.78,$0.17,10.48
2014-06-30,1.42,$0.14,9.83
2014-03-31,1.4,$0.12,11.71
2013-12-31,3.4,$0.12,28.15
2013-09-30,1.07,$0.19,5.65
2013-06-30,1.27,$0.11,11.98
2013-03-31,1.45,$0.09,15.92
2012-12-31,1.35,$0.11,12.03
2012-09-30,1.45,$-0.12,0.0
2012-06-30,2.1,$-0.24,0.0
2012-03-31,2.9,$-0.34,0.0
2011-12-31,3.45,$-0.45,0.0
2011-09-30,3.5,$-0.34,0.0
2011-06-30,3.3,$-0.24,0.0
