INVESCO MORTGAGE CAPITAL INC Price to Free Cash Flow Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC Price to Free Cash Flow Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC Price to Free Cash Flow Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.74,,2.57
2024-12-31,8.05,$3.41,2.36
2024-09-30,8.96,$3.05,2.94
2024-06-30,8.55,$3.60,2.38
2024-03-31,8.45,$4.89,1.73
2023-12-31,7.74,$5.40,1.43
2023-09-30,8.01,$6.52,1.23
2023-06-30,9.17,$6.92,1.33
2023-03-31,8.26,$6.22,1.33
2022-12-31,9.02,$5.74,1.57
2022-09-30,7.4,$5.54,1.34
2022-06-30,9.22,$5.16,1.79
2022-03-31,13.7,$5.21,2.63
2021-12-31,16.2,$5.54,2.93
2021-09-30,17.85,$5.60,3.19
2021-06-30,21.58,$4.81,4.48
2021-03-31,21.7,$4.33,5.01
2020-12-31,17.86,$9.81,1.82
2020-09-30,14.07,$17.83,0.79
2020-06-30,19.31,$21.57,0.9
2020-03-31,15.0,$27.32,0.55
2019-12-31,66.16,$25.95,2.55
2019-09-30,59.08,$23.69,2.49
2019-06-30,60.44,$26.39,2.29
2019-03-31,57.62,$26.39,2.18
2018-12-31,51.35,$27.25,1.88
2018-09-30,54.44,$26.38,2.06
2018-06-30,53.29,$25.44,2.09
2018-03-31,53.5,$25.23,2.12
2017-12-31,56.76,$23.62,2.4
2017-09-30,53.27,$20.19,2.64
2017-06-30,50.73,$19.63,2.58
2017-03-31,45.72,$20.73,2.21
2016-12-31,42.18,$22.71,1.86
2016-09-30,42.83,$26.20,1.64
2016-06-30,37.53,$30.26,1.24
2016-03-31,32.45,$29.05,1.12
2015-12-31,31.92,$29.19,1.09
2015-09-30,30.58,$30.50,1.0
2015-06-30,34.72,$28.75,1.21
2015-03-31,36.57,$30.36,1.2
2014-12-31,35.37,$30.49,1.16
2014-09-30,34.96,$31.00,1.13
2014-06-30,37.44,$34.62,1.08
2014-03-31,34.51,$34.63,1.0
2013-12-31,29.85,$36.55,0.82
2013-09-30,30.27,$37.98,0.8
2013-06-30,31.56,$36.02,0.88
2013-03-31,39.22,$36.93,1.06
2012-12-31,35.08,$36.53,0.96
2012-09-30,34.72,$41.84,0.83
2012-06-30,29.94,$36.75,0.81
2012-03-31,27.82,$34.19,0.81
2011-12-31,20.62,$34.78,0.59
2011-09-30,19.83,$29.93,0.66
2011-06-30,28.27,$32.00,0.88
2011-03-31,27.95,$29.71,0.94
2010-12-31,26.73,$26.04,1.03
2010-09-30,25.21,$34.58,0.73
2010-06-30,22.42,$31.59,0.71
