Joint Price to Free Cash Flow Ratio Historical Data,Joint Price to Free Cash Flow Ratio Historical Data,Joint Price to Free Cash Flow Ratio Historical Data,Joint Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.76,,23.49
2024-12-31,10.63,$0.54,19.57
2024-09-30,11.44,$0.44,26.02
2024-06-30,14.06,$0.41,34.55
2024-03-31,13.06,$0.48,26.97
2023-12-31,9.61,$0.65,14.83
2023-09-30,8.99,$0.74,12.16
2023-06-30,13.5,$0.77,17.6
2023-03-31,16.83,$0.56,30.29
2022-12-31,13.98,$0.16,89.96
2022-09-30,15.71,$-0.10,0.0
2022-06-30,15.31,$-0.22,0.0
2022-03-31,35.39,$0.29,120.21
2021-12-31,65.69,$0.46,143.15
2021-09-30,98.02,$0.71,138.08
2021-06-30,83.92,$0.86,97.04
2021-03-31,48.37,$0.62,77.43
2020-12-31,26.26,$0.55,47.71
2020-09-30,17.39,$0.43,40.72
2020-06-30,15.27,$0.26,57.86
2020-03-31,10.85,$0.30,36.37
2019-12-31,16.14,$0.28,57.83
2019-09-30,18.61,$0.38,49.6
2019-06-30,18.2,$0.38,47.98
2019-03-31,15.75,$0.32,49.11
2018-12-31,8.32,$0.31,26.89
2018-09-30,8.55,$0.19,44.09
2018-06-30,8.18,$0.05,175.91
2018-03-31,6.85,$0.05,150.55
2017-12-31,4.96,$-0.04,0.0
2017-09-30,4.76,$-0.18,0.0
2017-06-30,3.8,$-0.30,0.0
2017-03-31,4.2,$-0.60,0.0
2016-12-31,2.65,$-0.98,0.0
2016-09-30,2.38,$-1.46,0.0
2016-06-30,2.03,$-1.51,0.0
2016-03-31,3.13,$-1.42,0.0
2015-12-31,5.97,$-1.08,0.0
2015-09-30,6.48,$-0.76,0.0
