Citi Trends Price to Free Cash Flow Ratio Historical Data,Citi Trends Price to Free Cash Flow Ratio Historical Data,Citi Trends Price to Free Cash Flow Ratio Historical Data,Citi Trends Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.11,,0.0
2024-10-31,18.89,$-2.36,0.0
2024-07-31,19.61,$-0.84,0.0
2024-04-30,21.44,$-3.83,0.0
2024-01-31,26.93,$-2.97,0.0
2023-10-31,24.1,$-2.22,0.0
2023-07-31,18.85,$0.44,42.87
2023-04-30,17.26,$-0.53,0.0
2023-01-31,31.48,$-2.01,0.0
2022-10-31,22.61,$-4.12,0.0
2022-07-31,24.58,$-6.87,0.0
2022-04-30,27.97,$-4.08,0.0
2022-01-31,48.72,$4.95,9.84
2021-10-31,77.36,$8.05,9.61
2021-07-31,79.75,$9.24,8.63
2021-04-30,104.6,$14.08,7.43
2021-01-31,59.0,$9.09,6.49
2020-10-31,26.11,$5.82,4.49
2020-07-31,17.22,$5.33,3.23
2020-04-30,11.36,$1.87,6.07
2020-01-31,23.19,$1.58,14.72
2019-10-31,17.71,$1.58,11.24
2019-07-31,15.16,$1.65,9.16
2019-04-30,18.17,$1.24,14.68
2019-01-31,20.04,$1.31,15.27
2018-10-31,24.68,$1.49,16.6
2018-07-31,27.61,$1.94,14.26
2018-04-30,29.68,$0.72,41.14
2018-01-31,22.7,$1.51,15.03
2017-10-31,20.95,$1.41,14.88
2017-07-31,21.23,$1.16,18.32
2017-04-30,17.93,$1.32,13.57
2017-01-31,15.26,$1.08,14.15
2016-10-31,18.82,$0.44,42.54
2016-07-31,15.76,$0.40,39.59
2016-04-30,16.91,$0.57,29.9
2016-01-31,19.39,$0.52,37.01
2015-10-31,24.86,$0.77,32.08
2015-07-31,22.22,$1.00,22.33
2015-04-30,21.26,$1.46,14.56
2015-01-31,21.37,$1.95,10.94
2014-10-31,21.14,$1.29,16.36
2014-07-31,18.81,$0.97,19.44
2014-04-30,15.86,$1.59,9.95
2014-01-31,14.93,$1.82,8.22
2013-10-31,13.7,$1.89,7.24
2013-07-31,13.15,$1.01,13.0
2013-04-30,10.99,$-0.05,0.0
2013-01-31,12.08,$-0.34,0.0
2012-10-31,11.46,$0.34,34.21
2012-07-31,14.03,$0.26,53.3
2012-04-30,10.4,$-0.56,0.0
2012-01-31,8.4,$-1.12,0.0
2011-10-31,11.56,$-1.39,0.0
2011-07-31,13.1,$-1.19,0.0
2011-04-30,20.78,$-1.30,0.0
2011-01-31,21.38,$-1.14,0.0
2010-10-31,19.58,$-0.07,0.0
2010-07-31,29.3,$0.59,49.69
2010-04-30,31.31,$1.71,18.27
2010-01-31,29.06,$1.33,21.84
2009-10-31,24.58,$1.02,24.01
