Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.31,,10.11
2024-10-31,22.43,$2.40,9.33
2024-07-31,22.46,$0.84,26.79
2024-04-30,18.7,$1.32,14.19
2024-01-31,17.66,$0.51,34.77
2023-10-31,13.44,$1.99,6.76
2023-07-31,21.94,$3.59,6.12
2023-04-30,14.51,$1.87,7.75
2023-01-31,18.13,$3.41,5.31
2022-10-31,18.7,$1.74,10.78
2022-07-31,21.38,$0.67,31.88
2022-04-30,23.21,$5.20,4.46
2022-01-31,20.18,$1.13,17.82
2021-10-31,25.77,$-0.32,0.0
2021-07-31,29.69,$2.72,10.9
2021-04-30,32.9,$-1.60,0.0
2021-01-31,31.79,$-4.42,0.0
2020-10-31,10.85,$-1.69,0.0
2020-07-31,12.28,$-4.64,0.0
2020-04-30,16.84,$-2.09,0.0
2020-01-31,32.61,$1.93,16.91
2019-10-31,31.45,$1.44,21.89
2019-07-31,28.65,$3.23,8.87
2019-04-30,35.08,$2.91,12.07
2019-01-31,39.35,$3.78,10.42
2018-10-31,55.37,$4.84,11.45
2018-07-31,43.86,$4.49,9.78
2018-04-30,42.01,$3.42,12.29
2018-01-31,40.69,$3.96,10.27
2017-10-31,32.42,$3.53,9.19
2017-07-31,39.39,$3.44,11.46
2017-04-30,38.8,$4.41,8.8
2017-01-31,35.27,$4.62,7.63
2016-10-31,41.21,$4.12,10.01
2016-07-31,34.8,$10.42,3.34
2016-04-30,39.84,$7.40,5.39
2016-01-31,37.99,$7.30,5.2
2015-10-31,50.14,$7.01,7.15
2015-07-31,54.49,$1.34,40.58
2015-04-30,53.69,$1.37,39.2
2015-01-31,53.9,$1.85,29.07
2014-10-31,51.13,$1.61,31.76
2014-07-31,48.75,$1.98,24.68
2014-04-30,42.74,$2.78,15.39
2014-01-31,39.86,$2.62,15.24
2013-10-31,41.75,$2.71,15.43
2013-07-31,42.06,$2.76,15.25
2013-04-30,38.67,$2.66,14.54
2013-01-31,37.53,$2.89,12.99
2012-10-31,38.39,$2.66,14.41
2012-07-31,36.44,$2.59,14.07
2012-04-30,37.4,$2.93,12.76
2012-01-31,32.9,$3.06,10.75
2011-10-31,33.6,$3.37,9.97
2011-07-31,33.08,$3.37,9.83
2011-04-30,31.2,$3.42,9.12
2011-01-31,26.88,$3.50,7.69
2010-10-31,25.02,$2.89,8.64
2010-07-31,21.95,$3.10,7.08
2010-04-30,26.54,$4.07,6.52
2010-01-31,22.08,$4.06,5.44
2009-10-31,20.22,$3.66,5.53
