Potbelly Price to Free Cash Flow Ratio Historical Data,Potbelly Price to Free Cash Flow Ratio Historical Data,Potbelly Price to Free Cash Flow Ratio Historical Data,Potbelly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.17,,745.53
2024-12-31,9.42,$0.01,765.85
2024-09-30,8.34,$0.01,0.0
2024-06-30,8.03,$-0.23,0.0
2024-03-31,12.11,$0.11,112.65
2023-12-31,10.42,$0.08,128.8
2023-09-30,7.8,$0.35,22.34
2023-06-30,8.78,$0.34,26.14
2023-03-31,8.33,$0.32,25.78
2022-12-31,5.57,$0.14,39.99
2022-09-30,4.53,$-0.12,0.0
2022-06-30,5.65,$-0.23,0.0
2022-03-31,6.7,$-0.40,0.0
2021-12-31,5.58,$-0.50,0.0
2021-09-30,6.78,$-0.78,0.0
2021-06-30,7.9,$-0.74,0.0
2021-03-31,5.91,$-0.83,0.0
2020-12-31,4.4,$-0.94,0.0
2020-09-30,3.79,$-0.54,0.0
2020-06-30,2.28,$-0.43,0.0
2020-03-31,3.09,$-0.17,0.0
2019-12-31,4.22,$0.16,26.46
2019-09-30,4.36,$0.16,27.05
2019-06-30,5.09,$0.21,24.25
2019-03-31,8.51,$0.11,79.09
2018-12-31,8.05,$0.38,21.12
2018-09-30,12.3,$0.32,37.88
2018-06-30,12.95,$0.54,24.12
2018-03-31,12.05,$0.14,84.32
2017-12-31,12.3,$0.28,43.17
2017-09-30,12.4,$0.02,729.41
2017-06-30,11.5,$-0.11,0.0
2017-03-31,13.9,$0.37,37.96
2016-12-31,12.9,$0.35,36.55
2016-09-30,12.43,$0.58,21.26
2016-06-30,12.54,$0.58,21.73
2016-03-31,13.61,$0.29,46.82
2015-12-31,11.71,$0.16,72.96
2015-09-30,11.01,$-0.07,0.0
2015-06-30,12.25,$0.00,0.0
2015-03-31,13.7,$-0.02,0.0
2014-12-31,12.87,$-0.09,0.0
2014-09-30,11.66,$0.27,43.61
