Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data,Hormel Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.68,,18.3
2025-01-31,29.98,$1.62,18.49
2024-10-31,30.55,$1.84,16.59
2024-07-31,31.82,$1.64,19.35
2024-04-30,34.92,$1.80,19.36
2024-01-31,29.58,$1.77,16.75
2023-10-31,31.42,$1.43,22.03
2023-07-31,39.12,$1.55,25.31
2023-04-30,38.44,$1.34,28.75
2023-01-31,42.77,$1.26,33.9
2022-10-31,43.58,$1.56,27.94
2022-07-31,46.03,$1.91,24.14
2022-04-30,48.61,$1.72,28.27
2022-01-31,43.83,$1.72,25.56
2021-10-31,38.87,$1.41,27.58
2021-07-31,42.35,$0.75,56.48
2021-04-30,41.97,$1.15,36.51
2021-01-31,42.35,$1.46,29.03
2020-10-31,43.77,$1.39,31.38
2020-07-31,45.5,$1.58,28.82
2020-04-30,41.71,$1.41,29.61
2020-01-31,41.87,$1.14,36.81
2019-10-31,36.04,$1.22,29.48
2019-07-31,35.95,$1.49,24.12
2019-04-30,34.85,$1.58,22.03
2019-01-31,36.74,$1.45,25.36
2018-10-31,37.7,$1.58,23.79
2018-07-31,30.93,$1.68,18.47
2018-04-30,31.02,$1.70,18.21
2018-01-31,29.22,$1.68,17.41
2017-10-31,26.38,$1.51,17.42
2017-07-31,28.77,$1.38,20.81
2017-04-30,29.38,$1.26,23.26
2017-01-31,30.25,$1.30,23.24
2016-10-31,31.93,$1.46,21.91
2016-07-31,30.86,$1.32,23.33
2016-04-30,31.72,$1.43,22.15
2016-01-31,32.96,$1.63,20.19
2015-10-31,27.59,$1.60,17.23
2015-07-31,24.09,$1.69,14.23
2015-04-30,22.02,$1.47,14.96
2015-01-31,20.66,$1.01,20.47
2014-10-31,21.64,$1.11,19.56
2014-07-31,18.1,$0.86,20.97
2014-04-30,18.99,$0.98,19.38
2014-01-31,18.02,$1.29,13.92
2013-10-31,17.16,$1.00,17.13
2013-07-31,16.65,$1.04,15.98
2013-04-30,16.16,$0.83,19.38
2013-01-31,13.5,$0.73,18.6
2012-10-31,11.4,$0.73,15.72
2012-07-31,10.72,$0.60,17.77
2012-04-30,11.11,$0.58,19.18
2012-01-31,10.94,$0.68,16.0
2011-10-31,11.15,$0.73,15.23
2011-07-31,10.91,$0.84,13.01
2011-04-30,11.03,$0.92,11.95
2011-01-31,9.22,$0.84,11.0
2010-10-31,8.53,$0.74,11.52
2010-07-31,7.93,$0.76,10.37
2010-04-30,7.5,$0.72,10.47
2010-01-31,7.08,$0.76,9.35
2009-10-31,6.64,$0.86,7.7
