Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.83,,4.94
2024-12-31,30.26,$5.44,5.57
2024-09-30,33.44,$6.08,5.5
2024-06-30,40.55,$6.72,6.03
2024-03-31,44.62,$6.18,7.22
2023-12-31,41.34,$4.79,8.63
2023-09-30,43.66,$4.48,9.75
2023-06-30,36.65,$4.86,7.54
2023-03-31,35.09,$5.78,6.07
2022-12-31,40.56,$6.80,5.96
2022-09-30,32.99,$6.28,5.25
2022-06-30,28.12,$5.61,5.02
2022-03-31,37.43,$5.51,6.8
2021-12-31,24.09,$6.51,3.7
2021-09-30,22.94,$5.58,4.11
2021-06-30,21.27,$4.26,5.0
2021-03-31,14.9,$1.13,13.15
2020-12-31,10.89,$-0.37,0.0
2020-09-30,7.91,$-0.78,0.0
2020-06-30,12.14,$-0.70,0.0
2020-03-31,5.34,$-5.94,0.0
2019-12-31,23.07,$-6.35,0.0
2019-09-30,18.84,$-11.46,0.0
2019-06-30,20.73,$-11.80,0.0
2019-03-31,24.41,$-5.58,0.0
2018-12-31,19.32,$-6.06,0.0
2018-09-30,27.31,$-3.49,0.0
2018-06-30,27.45,$-3.95,0.0
2018-03-31,20.83,$-3.01,0.0
2017-12-31,24.79,$-1.32,0.0
2017-09-30,21.03,$2.07,10.14
2017-06-30,20.1,$2.28,8.81
2017-03-31,22.21,$6.70,3.32
2016-12-31,23.97,$4.81,4.98
2016-09-30,23.2,$1.03,22.55
2016-06-30,24.02,$0.12,202.55
2016-03-31,18.84,$-7.09,0.0
2015-12-31,16.43,$-5.41,0.0
2015-09-30,17.5,$4.63,3.78
2015-06-30,29.74,$5.07,5.86
2015-03-31,33.08,$6.84,4.84
2014-12-31,35.62,$4.64,7.67
2014-09-30,39.86,$-4.54,0.0
2014-06-30,46.3,$-3.15,0.0
2014-03-31,43.55,$-3.25,0.0
2013-12-31,44.71,$-2.00,0.0
2013-09-30,41.35,$-2.99,0.0
2013-06-30,35.99,$-4.34,0.0
2013-03-31,37.49,$-5.68,0.0
2012-12-31,34.85,$-3.24,0.0
2012-09-30,29.89,$-1.99,0.0
2012-06-30,27.84,$0.21,131.81
2012-03-31,30.97,$0.77,40.4
2011-12-31,30.54,$-1.36,0.0
2011-09-30,24.07,$1.69,14.28
2011-06-30,35.6,$1.21,29.47
2011-03-31,39.65,$3.08,12.87
2010-12-31,40.1,$4.56,8.79
2010-09-30,33.17,$4.98,6.66
2010-06-30,26.41,$4.43,5.96
2010-03-31,29.82,$2.17,13.72
2009-12-31,28.62,$-0.10,0.0
