Pop Culture Group Price to Free Cash Flow Ratio Historical Data,Pop Culture Group Price to Free Cash Flow Ratio Historical Data,Pop Culture Group Price to Free Cash Flow Ratio Historical Data,Pop Culture Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,inf
2024-06-30,1.42,0.0,0.0
2023-06-30,0.5,0.0,0.0
2022-12-31,0.78,0.0,0.0
