Capital City Bank Group Price to Free Cash Flow Ratio Historical Data,Capital City Bank Group Price to Free Cash Flow Ratio Historical Data,Capital City Bank Group Price to Free Cash Flow Ratio Historical Data,Capital City Bank Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.96,,11.43
2024-12-31,36.65,$3.23,11.33
2024-09-30,35.08,$2.88,12.18
2024-06-30,28.08,$3.66,7.68
2024-03-31,27.14,$2.44,11.14
2023-12-31,28.62,$2.80,10.21
2023-09-30,28.8,$3.54,8.13
2023-06-30,29.39,$2.44,12.06
2023-03-31,27.95,$5.02,5.57
2022-12-31,30.84,$5.09,6.07
2022-09-30,29.38,$6.27,4.69
2022-06-30,26.2,$7.91,3.31
2022-03-31,24.62,$5.17,4.76
2021-12-31,24.51,$6.92,3.54
2021-09-30,22.83,$5.14,4.44
2021-06-30,23.64,$1.47,16.1
2021-03-31,23.71,$3.02,7.86
2020-12-31,22.28,$-3.47,0.0
2020-09-30,16.93,$-3.24,0.0
2020-06-30,18.74,$-0.81,0.0
2020-03-31,17.89,$-1.42,0.0
2019-12-31,26.96,$2.97,9.09
2019-09-30,24.16,$3.27,7.39
2019-06-30,21.75,$3.47,6.26
2019-03-31,18.98,$2.69,7.04
2018-12-31,20.13,$1.94,10.36
2018-09-30,20.17,$1.19,16.96
2018-06-30,20.35,$0.23,88.56
2018-03-31,21.25,$0.77,27.75
2017-12-31,19.64,$2.04,9.61
2017-09-30,20.5,$1.81,11.3
2017-06-30,17.38,$2.06,8.43
2017-03-31,18.15,$1.94,9.36
2016-12-31,17.34,$1.07,16.28
2016-09-30,12.47,$2.48,5.02
2016-06-30,11.72,$2.57,4.56
2016-03-31,12.25,$2.93,4.19
2015-12-31,12.86,$2.77,4.64
2015-09-30,12.47,$1.50,8.29
2015-06-30,12.73,$1.74,7.31
2015-03-31,13.52,$1.19,11.36
2014-12-31,12.91,$1.15,11.27
2014-09-30,11.22,$1.33,8.41
2014-06-30,12.03,$1.38,8.72
2014-03-31,10.98,$1.78,6.15
2013-12-31,9.71,$1.85,5.25
2013-09-30,9.72,$2.17,4.48
2013-06-30,9.52,$2.62,3.63
2013-03-31,10.19,$2.77,3.68
2012-12-31,9.38,$3.13,3.0
2012-09-30,8.78,$0.75,11.71
2012-06-30,6.08,$0.61,10.02
2012-03-31,6.15,$1.04,5.89
2011-12-31,7.88,$2.05,3.85
2011-09-30,8.57,$4.26,2.01
2011-06-30,8.39,$4.41,1.9
2011-03-31,10.26,$3.87,2.65
2010-12-31,10.12,$2.94,3.45
2010-09-30,9.67,$2.09,4.63
2010-06-30,9.78,$1.88,5.2
2010-03-31,11.18,$2.17,5.14
2009-12-31,10.7,$2.05,5.23
