Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,175.3,,27.04
2024-12-31,175.3,$6.48,27.04
2024-09-30,175.99,$6.37,27.62
2024-06-30,164.97,$7.00,23.58
2024-03-31,172.07,$6.74,25.53
2023-12-31,161.34,$5.63,28.65
2023-09-30,148.73,$5.35,27.81
2023-06-30,164.1,$5.07,32.39
2023-03-31,147.29,$5.12,28.78
2022-12-31,171.03,$6.39,26.76
2022-09-30,177.11,$6.87,25.8
2022-06-30,174.49,$6.40,27.28
2022-03-31,190.49,$6.29,30.27
2021-12-31,161.0,$5.84,27.56
2021-09-30,157.7,$5.67,27.82
2021-06-30,156.76,$5.89,26.63
2021-03-31,145.02,$6.33,22.91
2020-12-31,154.37,$6.02,25.64
2020-09-30,154.53,$6.08,25.4
2020-06-30,174.44,$6.00,29.09
2020-03-31,146.79,$6.47,22.7
2019-12-31,137.35,$5.22,26.31
2019-09-30,137.27,$4.73,29.05
2019-06-30,125.6,$4.88,25.72
2019-03-31,129.74,$2.17,59.8
2018-12-31,117.96,$3.48,33.86
2018-09-30,148.85,$3.40,43.83
2018-06-30,120.94,$3.55,34.04
2018-03-31,111.86,$4.64,24.1
2017-12-31,107.83,$4.28,25.17
2017-09-30,94.51,$4.44,21.28
2017-06-30,95.21,$4.04,23.55
2017-03-31,85.08,$4.96,17.14
2016-12-31,80.87,$4.92,16.42
2016-09-30,77.68,$4.14,18.76
2016-06-30,78.99,$3.92,20.13
2016-03-31,76.29,$2.93,26.08
2015-12-31,70.18,$2.99,23.47
2015-09-30,62.38,$3.45,18.08
2015-06-30,57.77,$2.97,19.42
2015-03-31,62.16,$3.08,20.17
2014-12-31,55.06,$2.88,19.14
2014-09-30,49.14,$2.71,18.16
2014-06-30,52.27,$2.98,17.57
2014-03-31,48.85,$2.56,19.1
2013-12-31,51.68,$2.53,20.41
2013-09-30,44.93,$2.40,18.69
2013-06-30,40.83,$2.45,16.67
2013-03-31,39.87,$2.37,16.81
2012-12-31,33.77,$2.30,14.67
2012-09-30,32.46,$2.43,13.38
2012-06-30,29.51,$2.15,13.7
2012-03-31,29.07,$2.05,14.21
2011-12-31,28.54,$2.15,13.26
2011-09-30,24.53,$2.09,11.72
2011-06-30,25.31,$2.09,12.12
2011-03-31,28.49,$2.04,14.0
2010-12-31,24.42,$1.87,13.04
2010-09-30,21.29,$1.75,12.15
2010-06-30,19.86,$1.64,12.14
2010-03-31,19.93,$1.58,12.64
2009-12-31,19.09,$2.21,8.65
