COMPASS Pathways Price to Free Cash Flow Ratio Historical Data,COMPASS Pathways Price to Free Cash Flow Ratio Historical Data,COMPASS Pathways Price to Free Cash Flow Ratio Historical Data,COMPASS Pathways Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.97,,0.0
2024-12-31,3.78,$-1.77,0.0
2024-09-30,6.3,$-1.64,0.0
2024-06-30,6.04,$-1.56,0.0
2024-03-31,8.32,$-1.58,0.0
2023-12-31,8.75,$-1.91,0.0
2023-09-30,7.4,$-2.48,0.0
2023-06-30,8.28,$-2.67,0.0
2023-03-31,9.93,$-2.60,0.0
2022-12-31,8.03,$-2.50,0.0
2022-09-30,10.73,$-2.03,0.0
2022-06-30,10.82,$-1.89,0.0
2022-03-31,12.89,$-1.88,0.0
2021-12-31,22.1,$-1.70,0.0
2021-09-30,29.87,$-1.61,0.0
2021-06-30,38.15,$-3.24,0.0
