Castellum Price to Free Cash Flow Ratio Historical Data,Castellum Price to Free Cash Flow Ratio Historical Data,Castellum Price to Free Cash Flow Ratio Historical Data,Castellum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.22,,60.4
2024-12-31,2.0,$0.02,99.01
2024-09-30,0.17,$0.04,4.07
2024-06-30,0.19,$0.00,0.0
2024-03-31,0.26,$0.01,0.0
2023-12-31,0.3,$-0.05,0.0
2023-09-30,0.23,$-0.03,0.0
