Community Health Systems Price to Free Cash Flow Ratio Historical Data,Community Health Systems Price to Free Cash Flow Ratio Historical Data,Community Health Systems Price to Free Cash Flow Ratio Historical Data,Community Health Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.67,,2.82
2024-12-31,2.99,$0.95,3.16
2024-09-30,6.07,$-0.01,0.0
2024-06-30,3.36,$-0.75,0.0
2024-03-31,3.5,$-0.86,0.0
2023-12-31,3.13,$-1.76,0.0
2023-09-30,2.9,$-2.49,0.0
2023-06-30,4.4,$-1.22,0.0
2023-03-31,4.9,$-1.49,0.0
2022-12-31,4.32,$-0.59,0.0
2022-09-30,2.15,$-4.79,0.0
2022-06-30,3.75,$-5.29,0.0
2022-03-31,11.87,$-4.47,0.0
2021-12-31,13.31,$-4.52,0.0
2021-09-30,11.7,$0.03,340.12
2021-06-30,15.44,$2.27,6.79
2021-03-31,13.52,$15.30,0.88
2020-12-31,7.43,$14.95,0.5
2020-09-30,4.22,$16.17,0.26
2020-06-30,3.01,$12.30,0.24
2020-03-31,3.34,$-0.91,0.0
2019-12-31,2.9,$-0.44,0.0
2019-09-30,3.6,$-3.62,0.0
2019-06-30,2.67,$0.05,57.05
2019-03-31,3.73,$-1.52,0.0
2018-12-31,2.82,$-2.17,0.0
2018-09-30,3.46,$0.51,6.79
2018-06-30,3.32,$-1.89,0.0
2018-03-31,3.96,$0.53,7.52
2017-12-31,4.26,$1.93,2.2
2017-09-30,7.68,$3.07,2.5
2017-06-30,9.96,$3.67,2.72
2017-03-31,8.87,$3.88,2.29
2016-12-31,5.59,$3.68,1.52
2016-09-30,11.54,$2.77,4.16
2016-06-30,12.05,$1.59,7.57
2016-03-31,15.38,$3.12,4.93
2015-12-31,22.04,$-0.15,0.0
2015-09-30,35.54,$5.59,6.36
2015-06-30,52.32,$6.19,8.45
2015-03-31,43.44,$5.70,7.62
2014-12-31,44.8,$7.21,6.21
2014-09-30,45.52,$5.92,7.68
2014-06-30,37.7,$6.34,5.94
2014-03-31,32.55,$4.65,7.0
2013-12-31,32.63,$5.14,6.35
2013-09-30,34.48,$3.51,9.83
2013-06-30,38.95,$4.81,8.1
2013-03-31,39.37,$5.12,7.69
2012-12-31,25.54,$5.76,4.44
2012-09-30,24.01,$4.78,5.02
2012-06-30,23.09,$4.07,5.68
2012-03-31,18.32,$5.17,3.54
2011-12-31,14.38,$5.58,2.58
2011-09-30,13.71,$3.46,3.97
2011-06-30,21.16,$5.44,3.89
2011-03-31,32.95,$4.35,7.57
2010-12-31,30.79,$5.77,5.33
2010-09-30,25.52,$5.63,4.53
2010-06-30,27.86,$5.41,5.15
2010-03-31,30.43,$6.01,5.07
2009-12-31,29.33,$5.50,5.33
