Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.58,,83.83
2024-12-31,15.79,$0.16,97.47
2024-09-30,15.89,$0.13,126.01
2024-06-30,15.15,$0.38,40.31
2024-03-31,14.58,$0.43,33.67
2023-12-31,13.83,$0.60,23.23
2023-09-30,13.3,$0.87,15.33
2023-06-30,12.46,$0.75,16.57
2023-03-31,11.24,$0.70,16.15
2022-12-31,10.22,$0.53,19.33
2022-09-30,10.33,$0.45,22.91
2022-06-30,10.86,$0.38,28.82
2022-03-31,10.92,$0.22,49.92
2021-12-31,12.82,$0.28,46.42
2021-09-30,12.77,$0.08,154.01
2021-06-30,14.29,$0.17,81.74
2021-03-31,11.93,$0.43,27.87
2020-12-31,13.86,$0.28,49.99
2020-09-30,13.52,$0.36,37.76
2020-06-30,10.24,$0.39,26.27
2020-03-31,7.79,$0.40,19.37
2019-12-31,7.84,$0.48,16.19
2019-09-30,7.32,$0.65,11.19
2019-06-30,7.19,$0.68,10.54
2019-03-31,7.77,$0.40,19.44
2018-12-31,7.23,$0.40,17.88
2018-09-30,6.64,$0.23,28.56
2018-06-30,6.12,$0.14,43.55
2018-03-31,6.22,$0.16,37.97
2017-12-31,7.14,$0.19,37.47
2017-09-30,6.78,$0.13,51.59
2017-06-30,7.95,$0.04,187.12
2017-03-31,7.58,$0.17,43.92
2016-12-31,8.55,$0.17,49.17
2016-09-30,8.76,$0.29,30.5
2016-06-30,9.61,$0.44,22.01
2016-03-31,8.48,$0.52,16.38
2015-12-31,8.69,$0.57,15.32
2015-09-30,11.99,$0.47,25.71
2015-06-30,10.33,$0.36,28.35
2015-03-31,10.66,$0.30,35.4
2014-12-31,9.42,$0.26,35.67
2014-09-30,9.81,$0.28,34.77
2014-06-30,8.0,$0.18,44.78
2014-03-31,8.14,$0.18,44.13
2013-12-31,7.61,$0.08,90.59
2013-09-30,7.01,$0.05,155.4
2013-06-30,6.97,$0.15,47.16
2013-03-31,5.96,$0.14,42.37
2012-12-31,6.13,$0.24,26.05
2012-09-30,5.68,$0.29,19.8
2012-06-30,5.47,$0.23,23.28
2012-03-31,6.31,$0.22,29.33
2011-12-31,5.38,$0.07,76.26
2011-09-30,5.44,$0.02,279.18
2011-06-30,6.27,$0.04,148.97
2011-03-31,6.64,$-0.02,0.0
2010-12-31,6.58,$-0.01,0.0
2010-09-30,5.74,$-0.00,0.0
2010-06-30,5.49,$0.09,59.12
2010-03-31,4.99,$0.22,22.72
2009-12-31,4.28,$0.25,17.05
