CRH Price to Free Cash Flow Ratio Historical Data,CRH Price to Free Cash Flow Ratio Historical Data,CRH Price to Free Cash Flow Ratio Historical Data,CRH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.59,,25.08
2024-12-31,92.52,$3.89,23.78
2024-09-30,92.74,$3.48,26.63
2024-06-30,74.98,$5.37,13.97
2024-03-31,86.26,$2.78,31.02
2023-12-31,69.16,$4.54,15.24
