Blue Hat Interactive Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Blue Hat Interactive Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Blue Hat Interactive Entertainment Technology Price to Free Cash Flow Ratio Historical Data,Blue Hat Interactive Entertainment Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.7,,inf
2022-06-30,2.85,0,0.0
2021-12-31,4.33,$-3.43,0.0
2021-09-30,6.1,$0.71,8.54
2021-06-30,8.64,$0.71,12.1
2021-03-31,13.6,$0.71,19.04
2020-12-31,8.9,$0.71,12.46
