Oculis Holding AG Price to Free Cash Flow Ratio Historical Data,Oculis Holding AG Price to Free Cash Flow Ratio Historical Data,Oculis Holding AG Price to Free Cash Flow Ratio Historical Data,Oculis Holding AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.64,,0.0
2024-12-31,17.0,$-1.34,0.0
2024-09-30,12.26,$-1.35,0.0
2024-06-30,11.95,$-2.00,0.0
