St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.79,,46.95
2024-12-31,44.93,$1.00,45.08
2024-09-30,58.16,$0.34,171.91
2024-06-30,54.42,$0.27,203.53
2024-03-31,57.56,$0.04,1514.69
2023-12-31,59.62,$-0.62,0.0
2023-09-30,53.7,$-1.72,0.0
2023-06-30,47.68,$-2.73,0.0
2023-03-31,40.95,$-3.45,0.0
2022-12-31,37.95,$-3.59,0.0
2022-09-30,31.36,$-2.11,0.0
2022-06-30,38.64,$-1.69,0.0
2022-03-31,57.74,$-1.01,0.0
2021-12-31,50.64,$-0.71,0.0
2021-09-30,40.9,$-1.00,0.0
2021-06-30,43.26,$-0.90,0.0
2021-03-31,41.52,$-1.16,0.0
2020-12-31,41.02,$-1.43,0.0
2020-09-30,19.89,$-1.35,0.0
2020-06-30,18.72,$-1.27,0.0
2020-03-31,16.17,$-1.07,0.0
2019-12-31,19.11,$-0.73,0.0
2019-09-30,16.51,$-0.80,0.0
2019-06-30,16.66,$-0.52,0.0
2019-03-31,15.89,$0.11,147.72
2018-12-31,12.69,$0.34,37.84
2018-09-30,16.19,$0.57,28.48
2018-06-30,17.3,$0.45,38.3
2018-03-31,18.17,$0.37,49.25
2017-12-31,17.4,$0.35,49.46
2017-09-30,18.17,$0.29,62.48
2017-06-30,18.07,$0.36,49.76
2017-03-31,16.43,$0.05,314.24
2016-12-31,18.31,$0.08,221.99
2016-09-30,17.72,$-0.12,0.0
2016-06-30,17.08,$-0.13,0.0
2016-03-31,16.53,$0.20,80.84
2015-12-31,17.84,$0.15,117.53
2015-09-30,18.44,$0.44,41.6
2015-06-30,14.97,$0.28,53.25
2015-03-31,17.89,$-0.24,0.0
2014-12-31,17.73,$3.56,4.98
2014-09-30,19.21,$3.50,5.49
2014-06-30,24.51,$3.73,6.56
2014-03-31,18.56,$3.92,4.73
2013-12-31,18.5,$0.14,134.04
2013-09-30,18.91,$0.04,473.98
2013-06-30,20.29,$0.24,84.68
2013-03-31,20.48,$0.23,90.35
2012-12-31,22.25,$0.24,90.95
2012-09-30,18.8,$0.04,450.75
2012-06-30,15.24,$-0.32,0.0
2012-03-31,18.32,$-0.49,0.0
2011-12-31,14.13,$-0.13,0.0
2011-09-30,14.45,$0.00,0.0
2011-06-30,20.09,$0.76,26.37
2011-03-31,24.17,$0.73,33.23
2010-12-31,21.06,$0.17,127.41
2010-09-30,23.97,$0.39,61.2
2010-06-30,22.32,$0.22,102.83
2010-03-31,31.18,$0.46,68.35
2009-12-31,27.85,$0.55,50.49
