BIT Mining Price to Free Cash Flow Ratio Historical Data,BIT Mining Price to Free Cash Flow Ratio Historical Data,BIT Mining Price to Free Cash Flow Ratio Historical Data,BIT Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.84,,0.0
2023-12-31,5.04,$-2.71,0.0
2023-09-30,2.75,$-8.88,0.0
2023-06-30,2.7,$-3.87,0.0
2023-03-31,2.46,$-8.88,0.0
2022-12-31,1.58,$-8.88,0.0
2022-09-30,2.8,$-13.69,0.0
2022-06-30,6.2,$-13.17,0.0
2022-03-31,27.9,$-13.69,0.0
2021-12-31,61.4,$-13.69,0.0
2021-09-30,81.7,$-2.33,0.0
2021-06-30,78.9,$-9.40,0.0
2021-03-31,213.7,$-2.33,0.0
2020-12-31,90.0,$-2.33,0.0
2020-09-30,30.0,$-5.59,0.0
2020-06-30,38.5,$-5.59,0.0
2020-03-31,45.2,$-5.59,0.0
2019-12-31,86.0,$-5.59,0.0
2019-09-30,106.6,$-6.81,0.0
2019-06-30,106.3,$-6.81,0.0
2019-03-31,139.6,$-6.81,0.0
2018-12-31,75.8,$-6.81,0.0
2018-09-30,110.6,$-10.22,0.0
2018-06-30,147.1,$-10.22,0.0
2018-03-31,171.6,$-10.22,0.0
2017-12-31,101.1,$-10.22,0.0
2017-09-30,110.0,$-4.90,0.0
2017-06-30,108.9,$-4.90,0.0
2017-03-31,134.1,$-4.90,0.0
2016-12-31,153.3,$-4.90,0.0
2016-09-30,176.3,$1.19,148.31
2016-06-30,166.2,$1.19,139.82
2016-03-31,167.0,$1.19,140.49
2015-12-31,201.0,$1.19,169.09
2015-09-30,162.2,$10.56,15.37
2015-06-30,248.1,$10.56,23.51
2015-03-31,107.9,$10.56,10.22
2014-12-31,173.5,$10.56,16.44
2014-09-30,337.3,$1.19,282.76
