Information Services Price to Free Cash Flow Ratio Historical Data,Information Services Price to Free Cash Flow Ratio Historical Data,Information Services Price to Free Cash Flow Ratio Historical Data,Information Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.72,,10.93
2024-12-31,3.34,$0.34,9.81
2024-09-30,3.26,$0.38,8.66
2024-06-30,2.86,$0.26,11.06
2024-03-31,3.88,$0.28,13.84
2023-12-31,4.47,$0.18,25.38
2023-09-30,4.12,$0.13,31.02
2023-06-30,4.99,$0.07,74.29
2023-03-31,4.7,$0.02,286.6
2022-12-31,4.21,$0.15,27.49
2022-09-30,4.33,$0.07,63.33
2022-06-30,6.1,$0.43,14.11
2022-03-31,6.11,$0.60,10.12
2021-12-31,6.81,$0.77,8.89
2021-09-30,6.39,$0.86,7.41
2021-06-30,5.18,$0.70,7.37
2021-03-31,3.88,$0.98,3.94
2020-12-31,2.89,$0.86,3.38
2020-09-30,1.86,$1.02,1.82
2020-06-30,1.82,$0.93,1.96
2020-03-31,2.27,$0.46,4.9
2019-12-31,2.23,$0.39,5.74
2019-09-30,2.19,$0.26,8.27
2019-06-30,2.79,$0.24,11.41
2019-03-31,3.29,$0.21,15.94
2018-12-31,3.74,$0.33,11.38
2018-09-30,4.21,$0.33,12.76
2018-06-30,3.61,$0.27,13.38
2018-03-31,3.68,$0.30,12.26
2017-12-31,3.68,$0.19,19.11
2017-09-30,3.54,$0.04,100.09
2017-06-30,3.62,$0.13,27.28
2017-03-31,2.78,$0.24,11.36
2016-12-31,3.21,$0.27,11.75
2016-09-30,3.52,$0.43,8.23
2016-06-30,3.31,$0.41,8.06
2016-03-31,3.46,$0.31,11.35
2015-12-31,3.19,$0.18,17.93
2015-09-30,3.45,$0.24,14.65
2015-06-30,4.21,$0.34,12.22
2015-03-31,3.52,$0.25,13.87
2014-12-31,3.59,$0.13,28.73
2014-09-30,3.23,$0.28,11.49
2014-06-30,4.09,$0.23,17.8
2014-03-31,4.18,$0.41,10.16
2013-12-31,3.61,$0.55,6.6
2013-09-30,3.52,$0.44,8.03
2013-06-30,1.64,$0.35,4.73
2013-03-31,1.72,$0.33,5.2
2012-12-31,0.98,$0.24,4.13
2012-09-30,1.06,$0.21,5.02
2012-06-30,1.09,$0.31,3.56
2012-03-31,1.11,$0.08,13.61
2011-12-31,0.88,$-0.02,0.0
2011-09-30,0.9,$-0.11,0.0
2011-06-30,1.51,$-0.29,0.0
2011-03-31,1.86,$-0.02,0.0
2010-12-31,1.76,$0.15,11.78
2010-09-30,1.52,$0.15,10.1
2010-06-30,1.7,$0.21,8.09
2010-03-31,2.9,$0.31,9.42
2009-12-31,2.7,$0.09,30.14
