Silicom Price to Free Cash Flow Ratio Historical Data,Silicom Price to Free Cash Flow Ratio Historical Data,Silicom Price to Free Cash Flow Ratio Historical Data,Silicom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.78,,3.21
2024-09-30,13.7,$4.60,2.98
2024-06-30,15.12,$4.60,3.29
2024-03-31,14.85,$4.60,3.23
2023-12-31,18.1,$4.60,3.94
2023-09-30,26.1,$-0.91,0.0
2023-06-30,36.86,$-0.91,0.0
2023-03-31,37.48,$-0.91,0.0
2022-12-31,42.15,$-0.91,0.0
2022-09-30,35.34,$-0.22,0.0
2022-06-30,33.65,$-0.22,0.0
2022-03-31,39.37,$-0.22,0.0
2021-12-31,51.6,$-0.22,0.0
2021-09-30,43.25,$0.46,94.89
2021-06-30,44.06,$0.46,96.67
2021-03-31,45.12,$0.46,98.99
2020-12-31,41.85,$0.46,91.82
2020-09-30,32.39,$3.34,9.7
2020-06-30,36.7,$1.38,26.51
2020-03-31,27.0,$3.34,8.09
2019-12-31,33.26,$3.34,9.96
2019-09-30,31.6,$5.79,5.46
2019-06-30,32.48,$4.87,6.67
2019-03-31,38.25,$5.79,6.61
2018-12-31,34.94,$5.79,6.03
2018-09-30,40.56,$-0.04,0.0
2018-06-30,38.46,$2.59,14.85
2018-03-31,34.41,$-0.04,0.0
2017-12-31,70.11,$-0.04,0.0
2017-09-30,58.51,$-0.56,0.0
2017-06-30,44.36,$0.23,196.46
2017-03-31,49.67,$-0.56,0.0
2016-12-31,40.24,$-0.56,0.0
2016-09-30,40.54,$1.40,28.96
2016-06-30,29.28,$0.24,122.11
2016-03-31,33.43,$1.40,23.89
2015-12-31,28.83,$1.40,20.6
2015-09-30,25.68,$2.58,9.97
2015-06-30,35.06,$2.40,14.58
2015-03-31,38.37,$2.58,14.89
2014-12-31,32.68,$2.58,12.68
2014-09-30,27.07,$0.15,181.06
2014-06-30,38.96,$0.95,41.08
2014-03-31,56.7,$0.15,379.26
2013-12-31,41.78,$0.15,279.49
2013-09-30,33.91,$1.15,29.36
2013-06-30,31.33,$1.15,27.13
2013-03-31,25.29,$1.15,21.9
2012-12-31,16.09,$1.15,13.93
2012-09-30,13.91,$0.60,23.18
2012-06-30,12.43,$0.60,20.71
2012-03-31,16.0,$0.60,26.66
2011-12-31,15.73,$0.60,26.21
2011-09-30,12.44,$0.40,31.36
2011-06-30,17.94,$0.40,45.23
2011-03-31,16.49,$0.40,41.58
2010-12-31,16.71,$0.40,42.13
2010-09-30,12.48,$0.52,24.17
2010-06-30,7.48,$0.22,33.59
2010-03-31,9.6,$0.52,18.58
2009-12-31,7.43,$0.52,14.37
