Atea Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Atea Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Atea Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Atea Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.15,,0.0
2024-12-31,3.35,$-1.61,0.0
2024-09-30,3.35,$-1.51,0.0
2024-06-30,3.31,$-1.45,0.0
2024-03-31,4.04,$-1.14,0.0
2023-12-31,3.05,$-1.02,0.0
2023-09-30,3.0,$-1.02,0.0
2023-06-30,3.74,$-1.07,0.0
2023-03-31,3.35,$-1.12,0.0
2022-12-31,4.81,$-1.48,0.0
2022-09-30,5.69,$-2.06,0.0
2022-06-30,7.1,$-1.56,0.0
2022-03-31,7.22,$-1.51,0.0
2021-12-31,8.94,$-0.99,0.0
2021-09-30,35.06,$13.60,2.58
