"VAXART, INC Price to Free Cash Flow Ratio Historical Data","VAXART, INC Price to Free Cash Flow Ratio Historical Data","VAXART, INC Price to Free Cash Flow Ratio Historical Data","VAXART, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.57,,0.0
2024-09-30,0.85,$-0.28,0.0
2024-06-30,0.67,$-0.37,0.0
2024-03-31,1.3,$-0.43,0.0
2023-12-31,0.57,$-0.50,0.0
2023-09-30,0.75,$-0.64,0.0
2023-06-30,0.73,$-0.70,0.0
2023-03-31,0.76,$-0.80,0.0
2022-12-31,0.96,$-0.82,0.0
2022-09-30,2.18,$-0.71,0.0
2022-06-30,3.5,$-0.70,0.0
2022-03-31,5.04,$-0.60,0.0
2021-12-31,6.27,$-0.54,0.0
2021-09-30,7.95,$-0.55,0.0
2021-06-30,7.49,$-0.50,0.0
2021-03-31,6.05,$-0.38,0.0
2020-12-31,5.71,$-0.28,0.0
2020-09-30,6.65,$-0.15,0.0
2020-06-30,8.85,$-0.31,0.0
2020-03-31,1.77,$0.01,129.2
2019-12-31,0.35,$-0.65,0.0
2019-09-30,0.36,$-1.73,0.0
2019-06-30,0.67,$-2.27,0.0
2019-03-31,1.94,$-1.10,0.0
2018-12-31,1.88,$-2.42,0.0
