First Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,First Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,First Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,First Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.53,,3.14
2024-09-30,10.65,$2.72,3.92
2024-06-30,8.94,$1.69,5.29
2024-03-31,9.9,$0.40,24.58
2023-12-31,10.67,$0.64,16.59
2023-09-30,10.41,$0.32,32.86
2023-06-30,10.5,$2.11,4.96
2023-03-31,14.44,$2.75,5.26
2022-12-31,21.4,$3.20,6.69
2022-09-30,19.83,$4.58,4.33
2022-06-30,21.87,$4.44,4.92
2022-03-31,21.4,$2.59,8.27
2021-12-31,18.1,$2.28,7.95
2021-09-30,16.08,$1.35,11.95
2021-06-30,15.48,$0.86,17.99
2021-03-31,14.11,$1.87,7.54
2020-12-31,13.88,$1.64,8.46
2020-09-30,9.38,$1.30,7.24
2020-06-30,9.34,$1.18,7.95
2020-03-31,10.88,$1.37,7.94
2019-12-31,16.27,$1.61,10.11
2019-09-30,14.92,$1.56,9.59
2019-06-30,13.95,$1.59,8.77
2019-03-31,13.61,$1.85,7.37
2018-12-31,15.29,$2.17,7.04
2018-09-30,16.79,$1.96,8.58
2018-06-30,16.9,$1.88,9.01
2018-03-31,16.78,$1.20,14.01
2017-12-31,16.04,$0.52,31.01
2017-09-30,15.62,$0.83,18.77
2017-06-30,15.7,$0.98,15.99
2017-03-31,13.87,$1.34,10.34
2016-12-31,13.62,$2.07,6.57
2016-09-30,9.19,$3.19,2.88
