UBS Group AG Price to Free Cash Flow Ratio Historical Data,UBS Group AG Price to Free Cash Flow Ratio Historical Data,UBS Group AG Price to Free Cash Flow Ratio Historical Data,UBS Group AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.99,,2.14
2024-09-30,30.91,$15.43,2.0
2024-06-30,29.54,$23.65,1.25
2024-03-31,30.31,$36.87,0.82
2023-12-31,30.49,$25.62,1.19
2023-09-30,24.32,$14.29,1.7
2023-06-30,20.0,$4.05,4.94
2023-03-31,20.79,$-12.25,0.0
2022-12-31,18.19,$3.87,4.69
2022-09-30,14.14,$6.76,2.09
2022-06-30,15.8,$14.06,1.12
2022-03-31,18.77,$16.45,1.14
2021-12-31,17.17,$8.24,2.08
2021-09-30,15.31,$6.42,2.39
2021-06-30,14.74,$-2.02,0.0
2021-03-31,14.75,$-0.02,0.0
2020-12-31,13.42,$9.57,1.4
2020-09-30,10.26,$14.62,0.7
2020-06-30,10.62,$15.41,0.69
2020-03-31,8.37,$13.42,0.62
2019-12-31,11.37,$4.81,2.36
2019-09-30,10.22,$4.44,2.3
2019-06-30,10.71,$3.28,3.27
2019-03-31,10.94,$7.30,1.5
2018-12-31,11.19,$7.12,1.57
2018-09-30,14.22,$-1.88,0.0
2018-06-30,13.86,$-3.71,0.0
2018-03-31,15.3,$-10.88,0.0
2017-12-31,15.93,$-13.99,0.0
2017-09-30,14.86,$-5.55,0.0
2017-06-30,14.71,$-0.40,0.0
2017-03-31,13.82,$-2.85,0.0
2016-12-31,13.58,$-4.79,0.0
2016-09-30,11.8,$-8.67,0.0
2016-06-30,11.23,$-2.84,0.0
2016-03-31,13.88,$-1.14,0.0
2015-12-31,16.78,$0.49,33.94
2015-09-30,16.04,$1.36,11.81
