Larimar Therapeutics Price to Free Cash Flow Ratio Historical Data,Larimar Therapeutics Price to Free Cash Flow Ratio Historical Data,Larimar Therapeutics Price to Free Cash Flow Ratio Historical Data,Larimar Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.51,,0.0
2024-09-30,6.55,$-0.99,0.0
2024-06-30,7.25,$-0.81,0.0
2024-03-31,7.59,$-0.79,0.0
2023-12-31,4.55,$-0.77,0.0
2023-09-30,3.95,$-0.68,0.0
2023-06-30,3.13,$-0.59,0.0
2023-03-31,4.53,$-0.84,0.0
2022-12-31,4.13,$-1.07,0.0
2022-09-30,3.2,$-1.53,0.0
2022-06-30,1.96,$-1.92,0.0
2022-03-31,4.05,$-2.18,0.0
2021-12-31,10.79,$-2.47,0.0
2021-09-30,11.53,$-3.42,0.0
2021-06-30,9.82,$-2.68,0.0
2021-03-31,14.61,$-2.78,0.0
2020-12-31,21.41,$-3.56,0.0
2020-09-30,15.17,$-3.33,0.0
2020-06-30,12.85,$-4.52,0.0
2020-03-31,9.24,$-1.20,0.0
2019-12-31,13.32,$-3.74,0.0
2019-09-30,8.87,$-8.62,0.0
2019-06-30,14.28,$-9.11,0.0
2019-03-31,32.88,$-17.45,0.0
2018-12-31,59.4,$-19.22,0.0
2018-09-30,140.28,$-17.37,0.0
2018-06-30,122.76,$-21.19,0.0
2018-03-31,89.4,$-19.84,0.0
2017-12-31,55.44,$-19.18,0.0
2017-09-30,42.24,$-18.67,0.0
2017-06-30,42.12,$-18.23,0.0
2017-03-31,55.92,$-20.28,0.0
2016-12-31,38.16,$-23.15,0.0
2016-09-30,39.72,$-27.80,0.0
2016-06-30,71.88,$-30.10,0.0
2016-03-31,80.16,$-29.78,0.0
2015-12-31,75.48,$-26.99,0.0
2015-09-30,383.4,$-37.62,0.0
2015-06-30,415.56,$17.29,24.03
2015-03-31,475.32,$-33.08,0.0
